,date_of_sale,address,location,livingarea,rooms,plotarea,closingprice
966,2015-04-27,Södra Ekelöv 155,"Hålta, Kungälvs kommun",206,6,2761.0,3395000
967,2015-04-23,Kungälvsvägen 73,"Grinden, Kungälvs kommun",144,5,1469.0,3525000
968,2015-04-18,Vämneröd 140,"Kode, Kungälvs kommun",133,4,2639.0,4100000
969,2015-04-16,Stenåldersgatan 36,"Ytterby - Stället, Kungälvs kommun",122,4,349.0,3950000
970,2015-04-16,Västra Röd 340,"Kärna - Harestad, Kungälvs kommun",183,6,1472.0,2150000
971,2015-04-16,Byvägen 59,"Ödsmålsmosse, Kungälvs kommun",124,4,1791.0,2900000
972,2015-04-16,Enskiftegatan 17,"Ytterby Tega, Kungälvs kommun",145,5,990.0,3700000
973,2019-01-04,Bergkristallvägen 15,"Kode, Kungälvs kommun",140,6,479.0,4330000
974,2018-12-30,Knaverstad-Ryr 590,"Aröd, Kungälvs kommun",90,3,1007.0,3000000
975,2018-12-28,Prästvägen 676,"Romelanda, Kungälvs kommun",222,5,1329.0,4150000
976,2018-12-27,Ranneberg  154,"Kärna, Kungälvs kommun",165,4,2381.0,5200000
977,2018-12-20,Ranneberg 155,"Kärna, Kungälvs kommun",155,42,2299.0,4500000
978,2018-12-20,Skålldal 140,"Bohuslän, Kungälvs kommun",308,8,1036.0,4300000
979,2018-12-19,Mariedalsvägen 1,"Kode, Kungälvs kommun",63,2,3432.0,1825000
980,2018-12-19,Mårdgatan 22,"Kungälv Centralt, Kungälvs kommun",158,6,940.0,5900000
981,2018-12-18,Enskiftegatan 5,"Ytterby, Kungälvs kommun",194,7,884.0,4800000
982,2018-12-18,Kvarndalsvägen 8C,"Lökeberg, Kungälvs kommun",155,5,1659.0,7050000
983,2018-12-17,Broberg 190,"Tjuvkil, Kungälvs kommun",67,4,1755.0,2000000
984,2018-12-16,Källeröd 210,"Kareby, Kungälvs kommun",280,5,2455.0,2550000
985,2018-12-12,Alelyckans väg 12,"Aröd, Kungälvs kommun",166,6,1392.0,3950000
986,2018-12-08,Kristinedalsgatan 5,"Kungälv, Kungälvs kommun",219,5,701.0,6650000
987,2018-12-07,Bollestad 152,"Ytterby, Kungälvs kommun",243,7,1762.0,4500000
988,2018-12-07,Lingonvägen 41,"Jordliden Munkegärde, Kungälvs kommun",115,5,399.0,4275000
989,2018-12-03,Häradsvägen 62,"Ytterby, Kungälvs kommun",130,7,390.0,3800000
990,2018-12-01,Hammar 375,"Bohuslän, Kungälvs kommun",163,6,2371.0,4630000
991,2018-11-29,Skogsvägen  20,"Ingetorp, Kungälvs kommun",101,5,1318.0,2715000
992,2018-11-29,Harkeröd 310,"Hålta, Kungälvs kommun",130,5,1245.0,3050000
993,2018-11-28,Prästbol 165,"Aröd, Kungälvs kommun",171,6,2805.0,5700000
994,2018-11-27,Duvesjön 374,"Duvesjön, Kungälvs kommun",110,4,1000.0,3590000
995,2018-11-26,Ulvebackegatan 28,"Bohuslän, Kungälvs kommun",160,6,793.0,4750000
996,2018-11-23,Hammar 310,"Bohuslän, Kungälvs kommun",124,5,1035.0,3200000
997,2018-11-23,Rostock 364,"Romelanda, Kungälvs kommun",144,5,1148.0,5100000
998,2018-11-23,Stenåldersgatan 6,"Ytterby, Kungälvs kommun",104,4,318.0,3725000
999,2018-11-21,Torp 310,"Kareby, Kungälvs kommun",227,6,3051.0,4300000
1000,2018-11-21,Tyftervägen 20,"Bohuslän, Kungälvs kommun",167,5,572.0,4300000
1001,2018-11-20,Harkvägen 357,"Ullstorp, Kungälvs kommun",111,4,572.0,5000000
1002,2018-11-18,Grindklykan 27,"Grinden, Kungälvs kommun",112,4,546.0,4400000
1003,2018-11-18,Häggvägen 10,"Ytterby, Kungälvs kommun",202,5,851.0,4170000
1004,2018-11-18,Hemmansgatan 11,"Tega, Kungälvs kommun",144,5,756.0,3900000
1005,2018-11-14,Komministergatan 3,"Kungälv - Centrum, Kungälvs kommun",200,7,678.0,5950000
1006,2018-11-12,Djupuddsvägen  30,"Instön, Kungälvs kommun",150,3,1336.0,4800000
1007,2018-11-09,Staby 130,"Kärna, Kungälvs kommun",191,5,9529.0,4020000
1008,2018-11-09,Munkegärdegatan 253,"Munkegärde, Kungälvs kommun",244,7,899.0,5750000
1009,2018-11-09,Rosenstensvägen 6,"Kode, Kungälvs kommun",123,5,485.0,3700000
1010,2018-11-05,Nerebyskogens väg 14,"Kärna - Harestad, Kungälvs kommun",33,2,1821.0,1380000
1011,2018-11-01,Bergåsvägen 22,"Ytterby, Kungälvs kommun",193,7,710.0,4500000
1012,2018-10-30,Nordängen 10,"Sundhammar, Kungälvs kommun",190,5,1331.0,4900000
1013,2018-10-29,Apelviksgatan 7,"Centrum, Kungälvs kommun",250,5,445.0,4750000
1014,2018-10-29,Ranneberg 170,"Romelanda, Kungälvs kommun",90,4,1265.0,1960000
1015,2018-10-28,Vesslegatan 3,"Olseröd, Kungälvs kommun",143,4,376.0,4500000
1016,2018-10-26,Bärnstensvägen 6,"Kode, Kungälvs kommun",185,5,1009.0,3250000
1017,2018-10-26,Solvagnsgatan 7,"Kungälv, Kungälvs kommun",145,6,362.0,5175000
1018,2018-10-25,Hallsbrovägen 3,"Bohuslän, Kungälvs kommun",74,3,1801.0,2500000
1019,2018-10-24,Tjäderstigen 8,"Centralt - Kungälv, Kungälvs kommun",126,4,362.0,4300000
1020,2018-10-23,Tegskiftegatan 50,"Ytterby, Kungälvs kommun",169,5,856.0,4000000
1021,2018-10-22,Fontinvägen 12,"Centralt - Kungälv, Kungälvs kommun",231,9,1269.0,6600000
1022,2018-10-19,Skårby station 355,"Kareby, Kungälvs kommun",150,4,2260.0,4140000
1023,2019-10-25,Hasselvägen 5,"Romelanda, Kungälvs kommun",115,166,972.0,4060000
1024,2019-10-25,Häradsvägen 82,"Ytterby, Kungälvs kommun",130,7,361.0,4350000
1025,2019-10-25,Fridhemsgatan 23,"Centralt, Kungälvs kommun",174,6,738.0,5250000
1026,2019-10-24,Slånbärsvägen 6,"Kungälv - Centralt, Kungälvs kommun",156,7,1010.0,5750000
1027,2019-10-23,Hasselvägen 1,"Diseröd, Kungälvs kommun",212,6,1032.0,3825000
1028,2019-10-23,Solhultsgatan 18,"Centralt, Kungälvs kommun",224,6,555.0,4795000
1029,2019-10-21,Glöskär 950,"Kungälv - Kärna, Kungälvs kommun",240,7,17790.0,6000000
1030,2019-10-19,Östergårdsgatan 25,"Ytterby, Kungälvs kommun",177,7,831.0,4695000
1031,2019-10-18,Romelandavägen 112,"Centralt, Kungälvs kommun",105,4,371.0,2695000
1032,2019-10-17,Myrebackavägen 102,"Bohuslän, Kungälvs kommun",129,5,2531.0,4535000
1033,2019-10-16,Duvesjön 180,"Romelanda, Kungälvs kommun",47,2,1650.0,2115000
1034,2019-10-11,Kungälvsvägen 22,"Centralt, Kungälvs kommun",123,5,1548.0,3760000
1035,2019-10-11,Håltet 140,"Kareby, Kungälvs kommun",132,5,2219.0,4010000
1036,2019-10-04,Länsmansvägen 30,"Ytterby, Kungälvs kommun",188,5,972.0,4650000
1037,2019-10-02,Gamla Trollhättevägen 11,"Centralt, Kungälvs kommun",96,3,654.0,3700000
1038,2019-10-01,Veneröd 430,"Hålta, Kungälvs kommun",92,4,1376.0,3395000
1039,2019-09-28,Bäckgatan 16,"Kungälv - Centrum, Kungälvs kommun",200,4,732.0,5700000
1040,2019-09-27,Topasvägen 11,"Bohuslän, Kungälvs kommun",198,6,742.0,3750000
1041,2019-09-26,Mantalsgatan 17,"Ytterby, Kungälvs kommun",212,6,986.0,4800000
1042,2019-09-26,Grindvakten 25,"Grinden, Kungälvs kommun",127,3,473.0,3850000
1043,2019-09-25,Solbräcke 1:47,"Kungälv, Kungälvs kommun",127,3,708.0,1000000
1044,2019-09-25,Solbräcke 1:46,"Kungälv, Kungälvs kommun",127,3,784.0,1000000
1045,2019-09-25,Solbräcke 1:45,"Kungälv, Kungälvs kommun",127,3,976.0,1000000
1046,2019-09-25,Solbräcke 1:44,"Bohuslän, Kungälvs kommun",127,3,882.0,1000000
1047,2019-09-25,Lundby 340,"Kungälv - Kareby, Kungälvs kommun",147,6,1648.0,4100000
1048,2019-09-23,Teggatan 8,"Fridhemskullen, Kungälvs kommun",198,5,759.0,5900000
1049,2019-09-19,Skårsäng 39,"Kärna, Kungälvs kommun",114,5,473.0,4400000
1050,2019-09-18,Mellan-Restad 380,"Bohuslän, Kungälvs kommun",155,6,3583.0,5025000
1051,2019-09-16,Dösebacka 620,"Romelanda, Kungälvs kommun",167,5,1498.0,3295000
1052,2019-09-15,Solhultsgatan 21,"Komarken, Kungälvs kommun",300,7,560.0,4900000
1053,2019-09-13,Mycklaborgsgatan 10,"Komarken, Kungälvs kommun",266,9,1110.0,5756725
1054,2019-09-12,Gamla Trollhättevägen 16,"Kungälv, Kungälvs kommun",110,4,524.0,3300000
1055,2019-09-11,Jägersberg 242,"Kode, Kungälvs kommun",121,5,1864.0,4200000
1056,2019-09-06,Åkerhög 180,"Vedhall, Kungälvs kommun",142,5,1057.0,3650000
1057,2019-09-05,Duvesjön 213,"Kungälv -Duvesjön, Kungälvs kommun",120,4,909.0,4000000
1058,2019-09-05,Lundby 250,"Kungälv - Kareby, Kungälvs kommun",151,6,1873.0,4575000
1059,2019-09-03,Briljantvägen 22,"Bohuslän, Kungälvs kommun",150,6,575.0,4210000
1060,2019-09-03,Täljstensgatan 5,"Ytterby, Kungälvs kommun",123,4,356.0,4510000
1061,2019-09-01,Hövdingagatan 7,"Komarken, Kungälvs kommun",180,7,655.0,4275000
1062,2019-08-31,Lundby 460,"Kareby, Kungälvs kommun",178,5,1825.0,3790000
1063,2019-08-31,Marias väg 32,"Aröd, Kungälvs kommun",85,4,1058.0,3325000
1064,2019-08-29,Skäggstorp 120,"Kode, Kungälvs kommun",94,4,1756.0,2240000
1065,2019-08-28,Bergkristallvägen 23,"Kode, Kungälvs kommun",130,5,504.0,4500000
1066,2019-08-28,Stora Risby 530,"Hålta, Kungälvs kommun",115,4,925.0,3000000
1067,2019-08-25,Nordängen 10,"Sundhammar, Kungälvs kommun",192,5,1331.0,5000000
1068,2019-08-24,Lefstadvägen 31,"Kärna, Kungälvs kommun",130,5,881.0,4150000
1069,2019-08-24,Diamantvägen 54,"Kode, Kungälvs kommun",155,6,560.0,3820000
1070,2019-08-23,Råckeröd 170,"Kärna, Kungälvs kommun",295,7,2388.0,4550000
1071,2019-08-23,Gustavsbergsvägen 17,"Tega, Kungälvs kommun",111,4,1360.0,4330000
1072,2019-08-22,Hammarhöjden 650,"Kode, Kungälvs kommun",68,4,1157.0,2650000
1073,2020-01-19,Sundviksvägen 36,"Tjuvkil/lycke, Kungälvs kommun",117,5,533.0,5495000
1074,2020-01-18,Kungälvsvägen 51,"Grinden, Kungälvs kommun",89,4,215.0,4100000
1075,2020-01-17,Norrmannebo 540,"Norrmannebo, Kungälvs kommun",170,5,4495.0,3420000
1076,2020-01-17,Hallebäcksvägen 18,"Timmervik, Kungälvs kommun",62,3,1336.0,2215000
1077,2020-01-17,Gråstensvägen 11,"Kode, Kungälvs kommun",205,8,1628.0,3150000
1078,2020-01-15,Guntorpsvägen 24,"Kode, Kungälvs kommun",262,6,1065.0,5000000
1079,2020-01-10,Västerängen 5,"Ytterby, Kungälvs kommun",150,6,1046.0,5175000
1080,2020-01-10,Munkegärdegatan 339,"Kungälv, Kungälvs kommun",117,5,659.0,5100000
1081,2020-01-09,Holm 230,"Kovikshamn, Kungälvs kommun",162,7,2861.0,5875000
1082,2020-01-03,Opalvägen 10,"Kode, Kungälvs kommun",180,5,712.0,2900000
1083,2019-12-27,Ön 170,"Kareby, Kungälvs kommun",204,5,3272.0,3500000
1084,2019-12-27,Bräcke 106,"Kärna, Kungälvs kommun",127,4,2070.0,4600000
1085,2019-12-22,Solrosvägen 7,"Kärna, Kungälvs kommun",228,5,592.0,4375000
1086,2019-12-20,Broberg 190,"Tjuvkil/Lycke, Kungälvs kommun",67,4,1755.0,1850000
1087,2019-12-20,Prejelvägen 120,"Kungälv, Kungälvs kommun",67,4,314.0,5100000
1088,2019-12-20,Matskärsvägen 2,"Kungälv - Tjuvkil, Kungälvs kommun",130,4,594.0,4650000
1089,2019-12-20,Dannemarksgatan 42,"Ytterby, Kungälvs kommun",148,6,641.0,5400000
1090,2019-12-15,Spaghamnsvägen 15,"Tjuvkil/Lycke, Kungälvs kommun",114,3,1407.0,6500000
1091,2019-12-12,Lilla Fjellsholmen 6,"Lilla Fjellsholmen, Kungälvs kommun",86,4,400.0,6900000
1092,2019-12-11,Ulvesund 438,"Ytterby, Kungälvs kommun",90,5,760.0,4500000
1093,2019-12-09,Hallbjörtorp 200,"Hallbjörtorp, Kungälvs kommun",90,3,1458.0,1000000
1094,2019-12-06,Bergåsvägen 6B,"Ytterby, Kungälvs kommun",170,5,1021.0,5400000
1095,2019-12-03,Settungsvägen 44,"Ullstorp, Kungälvs kommun",145,5,583.0,5100000
1096,2019-11-30,Skurhagagatan 4,"Kungälv - Centrum, Kungälvs kommun",265,7,798.0,5300000
1097,2019-11-28,Rörmossevägen 130,"Bohuslän, Kungälvs kommun",258,5,1200.0,4480000
1098,2019-11-28,Törnrosgatan 10,"Ytterby, Kungälvs kommun",212,7,1030.0,5375000
1099,2019-11-27,Vävra 542,"Hålta, Kungälvs kommun",124,6,1106.0,4550000
1100,2019-11-25,Vallby 110,"Solberga-Kode, Kungälvs kommun",141,5,12135.0,5100000
1101,2019-11-22,Olsåker 200,"Kareby, Kungälvs kommun",262,6,1673.0,3600000
1102,2019-11-22,Enekullsvägen 6,"Ytterby, Kungälvs kommun",264,8,1160.0,6900000
1103,2019-11-21,Åsebyberg 655,"Åsebyberg, Kungälvs kommun",35,2,2854.0,2080000
1104,2019-11-20,Ljungvägen 40,"Ödsmålsmosse vid Rörtången, Kungälvs kommun",65,3,1016.0,2295000
1105,2019-11-20,Bergkristallvägen 18,"Kode, Kungälvs kommun",127,6,608.0,4450000
1106,2019-11-20,Solberga 870,"Kode, Kungälvs kommun",142,3,1272.0,3420000
1107,2019-11-16,Kuskalundsvägen 35,"Vävra, Kungälvs kommun",63,3,2104.0,2450000
1108,2019-11-16,Trankärr 170,"Trankärr, Kungälvs kommun",146,3,1002.0,3880000
1109,2019-11-13,Granndalen 13,"Kärna, Kungälvs kommun",91,4,1093.0,2100000
1110,2019-11-13,Solbräcke / Ullstorp,"Kungälv, Kungälvs kommun",148,6,784.0,4950000
1111,2019-11-13,Grindklykan 9,"Kungälv, Kungälvs kommun",121,4,729.0,3900000
1112,2019-11-06,Täljstensgatan 4,"Ytterby, Kungälvs kommun",82,3,478.0,3100000
1113,2019-11-06,Duvesjön 357,"Romelanda, Kungälvs kommun",229,9,1054.0,4625000
1114,2019-11-01,,"Kungälv, Kungälvs kommun",229,9,708.0,1251360
1115,2019-11-01,Kulperödsvägen 39,"Gullbringa, Kungälvs kommun",129,4,1192.0,2900000
1116,2019-11-01,Topasvägen 13,"Kode, Kungälvs kommun",225,6,782.0,4500000
1117,2019-10-30,Råckeröd 180,"Kärna, Kungälvs kommun",225,6,3183.0,1000000
1118,2019-10-30,Enebacksvägen 10,"Kode, Kungälvs kommun",105,4,1051.0,2720000
1119,2019-10-30,Lerskärsvägen 11,"Tjuvkil, Kungälvs kommun",138,3,1065.0,2830000
1120,2019-10-29,Jägersberg 350,"Kode, Kungälvs kommun",126,4,4120.0,3405000
1121,2019-10-29,Lilla Fjellsholmen 16,"Lilla Fjellsholmen, Kungälvs kommun",86,4,435.0,7500000
1122,2019-10-29,Häradsvägen 92,"Ytterby centralt, Kungälvs kommun",130,5,386.0,3595000
1123,2019-04-01,Brunnefjällsvägen  18,"Kärna, Kungälvs kommun",83,3,1196.0,3000000
1124,2019-04-01,Dannemarksgatan 4,"Tega - Ytterby, Kungälvs kommun",263,6,990.0,4710000
1125,2019-03-31,Alekärr 110,"Diseröd, Kungälvs kommun",267,6,1611.0,3500000
1126,2019-03-29,Duvesjön 460,"Duvesjön, Kungälvs kommun",64,3,1986.0,2260000
1127,2019-03-25,Solvagnsgatan 22,"Ytterby - Stället, Kungälvs kommun",151,5,370.0,5000000
