country,,country,year,mean_years_of_schooling_female,share_of_male_seats_in_parliament,mean_years_of_schooling,income_inequality,co2_emissions_per_capita_tonnes,expected_years_of_schooling_male,expected_years_of_schooling,female_labour_force_participation_rate,female_population_with_some_secondary_education,expected_years_of_schooling_female,adolescent_birth_rate_per_1000_women_ages_15_19,material_footprint_per_capita_tonnes,mean_years_of_schooling_male,male_population_with_some_secondary_education,share_of_female_seats_in_parliament,education_inequality,gender_development_index,coefficient_of_human_inequality,male_labour_force_participation_rate,human_development_index,gross_national_income_per_capita_2017_ppp,total_population_as_of_january_1st_thousands,total_population_as_of_july_1st_thousands,male_population_as_of_july_1st_thousands,female_population_as_of_july_1st_thousands,population_density_as_of_july_1st_persons_per_square_km,population_sex_ratio_as_of_july_1st_males_per_100_females,median_age_as_of_july_1st_years,natural_change_births_minus_deaths_thousands,rate_of_natural_change_per_1000_population,population_change_thousands,population_growth_rate_percentage,population_annual_doubling_time_years,births_thousands,births_by_women_aged_15_to_19_thousands,crude_birth_rate_births_per_1000_population,total_fertility_rate_live_births_per_woman,net_reproduction_rate_surviving_daughters_per_woman,mean_age_of_childbearing_years,sex_ratio_at_birth_males_per_100_female_births,total_deaths_thousands,male_deaths_thousands,female_deaths_thousands,crude_death_rate_deaths_per_1000_population,live_births_surviving_to_age_1_thousands,net_number_of_migrants_thousands,net_migration_rate_per_1000_population,country_id,gross_national_income_per_capita_2017_ppp_log
Dominica,1482,Dominica,2000,,90.625,7.775336266,,1.472936109,12.1387237,12.72753188,,,13.33588693,59.459,,,,9.375,,,,,0.695,8853.514443,68.544,68.346,34.133,34.213,91.128,99.7662,26.6344,0.59,8.568,-0.396,-0.579,468.1808082365144,1.219,0.193,17.709,2.3513,1.1224,27.907,103.2,0.629,0.319,0.311,9.141,1.201,-0.994,-14.439,48,9.088569771377182
Dominica,1495,Dominica,2013,,87.5,7.893659876,,2.373267996,12.14933658,13.12942954,,,14.19386848,43.492,,,,12.5,,,,,0.699,11997.30479,69.011,68.818,34.742,34.077,91.758,101.953,30.8212,0.055,0.8,-0.385,-0.559,252.74797529333824,0.923,0.132,13.369,1.7717,0.8177,28.123,103.8,0.868,0.452,0.416,12.569,0.894,-0.445,-6.446,48,9.39243730271026
Dominica,1498,Dominica,2016,,78.125,8.017922938,,2.517845373,12.15284228,13.22396751,,,14.40044461,39.635,,,,21.875,,,,,0.709,12361.6883,69.897,70.075,35.179,34.895,93.4333,100.8139,30.7604,0.171,2.453,0.356,0.508,136.4463,0.921,0.119,13.167,1.6568,0.7758,28.141,103.7,0.75,0.406,0.344,10.714,0.897,0.179,2.558,48,9.422357315534724
Dominica,1501,Dominica,2019,,75.0,8.142186,,2.191399287,12.156349,13.3191862,,,14.61002724,39.325,,,,25.0,,,,,0.729,12694.12057,71.092,71.428,35.673,35.755,95.2373,99.7707,31.1733,0.35,4.903,0.672,0.941,73.6607,0.946,0.115,13.272,1.6106,0.7747,28.145,103.6,0.596,0.346,0.251,8.369,0.936,0.326,4.574,48,9.448894218009428
Dominican Republic,1538,Dominican Republic,1992,5.241919755,90.0,5.528540447,,1.40627957,9.568474016,9.493141561,35.985,29.71500976,9.428006484,115.268,6.05,5.778988026,28.57347465,10.0,,0.903,,78.427,0.593,6453.482482,7352.892,7427.34,3700.622,3726.718,153.7401,99.2997,19.3452,178.716,24.012,148.896,2.005,34.5709,221.806,46.846,29.802,3.2875,1.4979,26.2,104.4,43.09,24.338,18.751,5.79,213.638,-29.822,-4.007,49,8.772375183775548
Dominican Republic,1543,Dominican Republic,1997,6.017807084,90.0,6.139179829,,2.135679216,10.38766853,10.42644165,38.281,34.41535365,10.47100054,111.364,7.14,6.240742478,33.09324961,10.0,,0.926,,77.919,0.627,7919.734845,8082.629,8150.076,4098.186,4051.89,168.7002,101.1426,20.5158,164.916,20.201,134.894,1.655,41.882,212.907,47.504,26.079,2.9527,1.3591,25.853,104.8,47.991,27.069,20.922,5.878,206.194,-30.02,-3.677,49,8.977113005081366
Dominican Republic,1548,Dominican Republic,2002,6.670966926,84.61538462,6.620724308,,2.40104986,11.28617876,11.46365672,39.973,37.91462231,11.64484843,110.884,8.83,6.56538207,36.45808997,15.38461538,,0.949,,75.278,0.657,9273.289374,8732.516,8795.101,4464.92,4330.181,182.0517,103.1116,21.8307,155.647,17.666,125.17,1.423,48.7103,210.285,49.939,23.868,2.7735,1.2856,25.672,104.9,54.638,30.758,23.879,6.202,204.576,-30.477,-3.459,49,9.134893436395501
Dominican Republic,1552,Dominican Republic,2006,7.168117252,82.85714286,7.012107268,,2.073169647,12.03358317,12.33115805,40.479,41.13729095,12.63175693,101.253,7.66,6.843644578,39.55695622,17.14285714,,0.956,,74.115,0.683,10546.32662,9225.3,9284.168,4706.176,4577.992,192.175,102.8,22.8414,148.71,15.992,117.736,1.268,54.6646,203.321,47.888,21.865,2.533,1.1769,25.637,105.0,54.611,30.965,23.646,5.873,198.147,-30.977,-3.331,49,9.263532890595084
Dominican Republic,1553,Dominican Republic,2007,7.378210068,82.85714286,7.169889927,,2.140828523,12.22043427,12.54803338,40.161,43.34637833,12.87848405,102.863,7.53,6.952529907,41.68117905,17.14285714,,0.962,,74.271,0.692,11175.89734,9343.036,9402.206,4763.782,4638.424,194.6183,102.7026,23.1202,149.24,15.846,118.34,1.259,55.0554,204.419,49.273,21.705,2.5104,1.1679,25.618,104.9,55.179,31.655,23.523,5.859,199.241,-30.898,-3.281,49,9.321514715139418
Dominican Republic,1554,Dominican Republic,2008,7.392826716,82.85714286,7.193096638,,2.149676335,12.40728538,12.76490872,41.752,46.67920939,13.12521118,105.496,7.69,6.984446526,45.08173625,17.14285714,,0.966,,73.465,0.697,11557.87602,9461.376,9522.948,4822.328,4700.619,197.1176,102.5892,23.3973,153.753,16.116,123.143,1.293,53.6077,209.382,51.078,21.947,2.533,1.1811,25.551,104.9,55.629,32.347,23.281,5.831,204.121,-30.605,-3.208,49,9.355122390050854
Dominican Republic,1561,Dominican Republic,2015,8.019479752,80.93023256,7.718160152,29.785432,2.285093487,13.45199013,14.0928297,48.096,58.63265991,14.72986984,95.116,9.13,7.395530224,54.44623184,19.06976744,17.87405,1.004,22.05365594,76.099,0.736,14694.1036,10344.326,10405.832,5244.874,5160.958,215.3926,101.626,25.279,153.318,14.713,123.012,1.182,58.6419,214.628,45.891,20.596,2.43,1.1389,25.87,104.5,61.31,35.671,25.639,5.883,209.294,-30.31,-2.909,49,9.595201576652169
Ecuador,1609,Ecuador,1999,7.006763094,82.6446281,7.263298175,33.45808721036558,1.717103563,14.344795065389834,12.94741685,51.123,38.54550059,15.610965922033463,91.5,5.79,7.531757691,40.91877993,17.3553719,19.751983454600637,0.9619777855643524,21.973716840751212,81.359,0.683,7743.162499,12305.603,12412.046,6216.53,6195.516,49.976,100.3392,20.9414,259.31,20.852,212.886,1.715,40.4167,322.409,58.592,25.926,3.1659,1.4726,27.602,104.9,63.099,35.793,27.306,5.074,315.066,-46.434,-3.734,50,8.954565474735022
Ecuador,1612,Ecuador,2002,7.21522076,85.36585366,7.433897523,32.92845270955297,1.883308549,14.416401975304098,13.42655686,49.61,40.0905378,15.57322937056423,88.435,7.37,7.665213557,41.89698993,14.63414634,18.57269805047226,0.9623184030893278,21.266780818684424,81.643,0.698,8191.207779,12956.517,13070.608,6544.813,6525.796,52.6277,100.2914,21.5968,256.267,19.585,228.183,1.746,39.6992,320.056,59.211,24.46,2.9723,1.3912,27.406,104.9,63.789,35.995,27.794,4.875,313.726,-28.089,-2.147,50,9.010816635937859
Ecuador,1618,Ecuador,2008,7.59871006,75.0,7.72631979,32.40720221176741,2.034509563,14.48836633539622,14.38483688,51.978,42.67126083,15.535584040056204,90.694,9.1,7.868229866,43.46857834,25.0,17.46382147731454,0.9626591412203089,20.58258826523141,81.313,0.729,10007.24798,14374.055,14496.797,7254.593,7242.204,58.3701,100.1711,23.2231,254.26,17.532,245.484,1.693,40.9419,324.545,64.9,22.379,2.6746,1.263,26.915,104.7,70.285,39.953,30.332,4.847,319.531,-8.776,-0.605,50,9.211064907436963
Ecuador,1622,Ecuador,2012,7.973629951,67.74193548,8.097470284,31.894203,2.401044171,14.56068993,15.02369022,48.041,46.48731995,15.49802971,90.001,7.84,8.235899925,47.20756912,32.25806452,16.42115,0.963,19.92040748,77.065,0.751,11255.83603,15362.278,15483.883,7744.557,7739.326,62.3445,100.0676,24.4054,251.044,16.211,243.21,1.571,44.1214,325.267,66.355,21.004,2.5169,1.195,26.879,104.7,74.223,41.27,32.953,4.793,321.073,-7.832,-0.506,50,9.328642031346257
Ecuador,1624,Ecuador,2014,8.267999649,58.39416058,8.361359596,29.851789,2.708584088,14.78169696,15.05500507,47.656,48.2448082,15.50896327,80.124,10.32,8.46432972,49.36460876,41.60583942,14.18076,0.958,18.20978009,77.803,0.76,11887.546,15840.491,15957.994,7981.215,7976.779,64.2535,100.0556,25.0635,232.714,14.587,235.006,1.473,47.0568,308.532,59.772,19.339,2.3348,1.1106,27.179,104.7,75.818,41.421,34.397,4.752,304.879,2.288,0.143,50,9.383246576457095
Ecuador,1625,Ecuador,2015,8.629260063,58.39416058,8.701580048,31.322467,2.514146911,14.89220047,15.19845009,51.881,52.12162018,15.51443005,79.692,9.0,8.78015995,52.2469101,41.60583942,13.80548,0.96,18.46835237,79.643,0.765,11685.75729,16075.497,16195.902,8100.228,8095.674,65.2114,100.0562,25.4162,226.074,13.967,240.81,1.487,46.6138,303.34,59.73,18.74,2.2599,1.0759,27.057,104.7,77.266,42.018,35.248,4.773,299.879,14.74,0.911,50,9.366126053602104
Ecuador,1626,Ecuador,2016,8.638620377,58.39416058,8.692919731,30.297652,2.395471598,14.77785047,15.07669004,55.386,51.86497116,15.38550663,75.1,7.65,8.751899719,51.86286163,41.60583942,13.5816,0.964,18.0095579,80.137,0.762,11334.76401,16316.307,16439.585,8222.126,8217.46,66.1926,100.0568,25.7791,219.49,13.364,246.556,1.5,46.2098,299.318,56.522,18.224,2.201,1.0473,27.154,104.7,79.828,43.331,36.497,4.86,296.0,27.063,1.648,50,9.335629743139544
Egypt,1633,Egypt,1991,4.659594055,98.01762115,5.468896212,,1.346041046,10.77103043,9.745200157,22.282,33.25060306,8.668100357,78.637,4.72,6.027688969,42.29815132,1.982378855,,0.816,,71.629,0.578,6057.706852,57933.587,58611.032,29568.592,29042.44,58.8789,101.8117,18.4776,1418.707,24.194,1354.89,2.312,29.9804,1878.11,222.998,32.028,4.3039,1.8636,28.225,106.7,459.403,234.774,224.629,7.834,1789.747,-63.804,-1.088,51,8.70908660018854
Egypt,1638,Egypt,1996,5.905670166,98.01762115,6.333519936,,1.471168294,11.25425529,10.57990658,21.161,45.14215851,9.746250153,64.587,5.49,6.684770107,49.16814041,1.982378855,,0.842,,73.664,0.613,6716.140759,64856.714,65565.195,33146.886,32418.308,65.8649,102.2474,19.1242,1409.584,21.5,1416.962,2.161,32.0753,1857.778,217.618,28.336,3.7335,1.668,27.972,106.4,448.194,232.146,216.047,6.836,1786.418,7.378,0.113,51,8.81226897673301
Egypt,1640,Egypt,1998,5.765160179,98.01762115,6.350305939,,1.83482336,11.44754524,10.91378915,19.811,43.40279312,10.17751007,60.782,4.49,6.866912079,49.77000198,1.982378855,,0.84,,72.455,0.624,7210.002975,67713.781,68446.011,34631.866,33814.146,68.7589,102.4183,19.5312,1453.147,21.229,1464.461,2.14,32.3901,1902.874,218.436,27.799,3.6167,1.6344,27.965,106.1,449.727,230.978,218.749,6.57,1836.597,11.316,0.165,51,8.883224642900268
Egypt,1641,Egypt,1999,5.694905186,98.01762115,6.35869894,,1.843962234,11.54419022,11.08073044,20.641,42.53311043,10.39314003,60.291,4.42,6.957983065,50.07093277,1.982378855,,0.835,,74.669,0.629,7464.909404,69178.242,69907.887,35385.65,34522.238,70.2274,102.501,19.7491,1459.442,20.876,1459.29,2.088,33.1967,1912.494,223.205,27.356,3.5237,1.6002,27.884,106.0,453.052,232.541,220.511,6.48,1849.059,-0.163,-0.002,51,8.91796857379784
Egypt,1646,Egypt,2004,5.343630219,95.68245125,6.400663948,,2.010774325,11.59943962,11.2580204,19.777,38.18469696,10.89929962,54.639,5.71,7.413337994,51.5755867,4.317548747,,0.844,,70.444,0.64,8162.00652,76742.438,77522.426,39286.378,38236.048,77.8768,102.747,20.963,1528.675,19.722,1559.977,2.012,34.4507,2012.961,228.624,25.97,3.1813,1.4797,27.725,104.6,484.286,255.828,228.458,6.248,1959.496,31.302,0.404,51,9.00724531478925
Egypt,1661,Egypt,2019,9.802207806,85.06711409,9.573026174,36.503,2.250084031,13.73198027,13.78649972,15.9,81.57427958,13.84451035,46.431,8.22,9.420359504,76.60529677,14.93288591,36.94291,0.898,28.27715636,68.482,0.735,11335.87708,104698.623,105618.671,53429.404,52189.268,106.1014,102.3762,23.6698,1899.816,17.987,1840.096,1.742,39.7903,2489.364,212.568,23.568,3.0009,1.426,27.715,105.3,589.548,315.728,273.82,5.581,2451.89,-59.715,-0.565,51,9.335727937980746
El Salvador,4960,El Salvador,1990,3.611669787,84.52380952,3.729339234,,0.469651404,10.334774999411756,8.899497437,38.886,13.81355755,9.751869330663341,123.204,4.93,3.932759374,15.05667039,15.47619048,,0.9224035660914575,,80.907,0.525,5142.350799,5318.01,5367.179,2604.746,2762.433,259.0337,94.2917,17.5689,138.027,25.621,98.338,1.832,37.8355,180.113,36.612,33.433,3.9468,1.7625,27.235,103.8,42.086,25.708,16.379,7.812,172.504,-39.69,-7.367,52,8.545265607785849
El Salvador,4965,El Salvador,1995,3.922620024,84.52380952,4.345768486,,0.888036101,10.71106873,10.44838371,41.172,17.26407262,10.1856987,124.243,6.18,4.670138666,22.22677258,15.47619048,,0.932,,80.27,0.578,6195.885277,5722.72,5748.196,2780.097,2968.098,277.4226,93.6659,18.5012,140.26,24.205,50.951,0.886,78.2333,177.798,40.131,30.683,3.5769,1.6373,26.788,104.7,37.538,22.422,15.115,6.478,172.36,-89.307,-15.412,52,8.731640685710081
El Salvador,4966,El Salvador,1996,3.985430036,84.52380952,4.471341337,,0.775843252,11.02334231,10.76858578,40.089,17.97291688,10.51382924,123.415,6.93,4.820691517,23.72944042,15.47619048,,0.929,,78.553,0.587,6165.814936,5773.671,5797.14,2801.044,2996.096,279.7847,93.4898,18.8371,139.216,23.813,46.937,0.81,85.5737,176.127,40.21,30.127,3.4817,1.5967,26.652,105.0,36.911,21.962,14.949,6.314,170.997,-92.279,-15.784,52,8.726775594372583
El Salvador,4970,El Salvador,2000,4.236670085,90.47619048,4.973632744,,0.96315585,11.77766991,11.51992035,43.73,20.80829389,11.27001953,107.896,7.55,5.422902925,29.74011176,9.523809524,,0.932,,76.748,0.617,6432.215581,5942.207,5958.482,2869.807,3088.675,287.5715,92.9138,20.177,129.783,21.589,32.55,0.546,126.95,165.106,34.659,27.465,3.1397,1.4486,26.619,106.2,35.323,20.673,14.65,5.876,161.158,-97.219,-16.172,52,8.76907432724364
El Salvador,4971,El Salvador,2001,4.299480098,90.47619048,5.099205596,,0.988256128,11.85144997,11.62421036,43.497,21.51713814,11.4064703,100.786,7.84,5.573455776,31.2427796,9.523809524,,0.929,,75.924,0.619,6443.979106,5974.757,5988.095,2881.789,3106.306,289.0007,92.7722,20.5001,120.012,19.876,26.676,0.445,,156.957,31.956,25.995,2.9769,1.3692,26.68,106.3,36.945,21.406,15.54,6.119,153.334,-93.347,-15.46,52,8.770901501895581
El Salvador,4979,El Salvador,2009,5.833819866,80.95238095,6.130139828,,1.025141587,12.51371002,12.36340046,45.407,34.8451004,12.22651005,72.071,7.28,6.503330231,40.78324127,19.04761905,,0.951,,76.565,0.653,6984.857474,6079.905,6091.188,2911.996,3179.192,293.9762,91.5955,22.4756,78.536,12.834,22.565,0.37,,119.84,24.058,19.584,2.2615,1.0505,26.844,107.6,41.304,23.514,17.791,6.75,118.006,-55.962,-9.145,52,8.85149986690164
El Salvador,4988,El Salvador,2018,6.624375105,69.04761905,6.968569994,22.43198,0.992283451,12.7930587,12.71449047,44.474,41.46834564,12.64582812,58.197,5.93,7.392854929,48.60267067,30.95238095,23.7938081,0.981,19.02430375,74.471,0.68,8136.126957,6273.173,6276.342,2992.279,3284.064,302.9123,91.1151,25.0715,60.495,9.598,6.339,0.101,,104.224,18.745,16.536,1.849,0.8794,27.076,104.8,43.729,25.187,18.542,6.938,103.157,-54.158,-8.593,52,9.004069541957682
Equatorial Guinea,2155,Equatorial Guinea,2001,3.7666749286981216,95.0,5.364,,4.69266986,,7.217412569,50.052,,,177.675,14.0,6.878514564600476,,5.0,,,,62.579,0.522,12198.86091,701.996,719.27,364.688,354.582,25.6424,102.8503,17.7178,19.46,27.341,34.549,4.804,14.4285,28.972,5.873,40.704,5.7846,2.2406,28.796,103.2,9.512,5.052,4.46,13.363,26.861,15.084,21.192,53,9.409097858329496
Equatorial Guinea,2158,Equatorial Guinea,2004,3.835131596800033,82.0,5.398943988,,13.89554906,,7.637000475,50.239,,,177.202,25.37,6.998568817263205,,18.0,,,,61.819,0.545,16046.97793,807.676,826.355,423.972,402.383,29.4601,105.3653,17.9681,22.62,27.611,37.358,4.522,15.3283,32.742,7.581,39.967,5.6183,2.226,28.641,103.2,10.122,5.35,4.772,12.356,30.539,14.733,17.984,53,9.68327581986346
Equatorial Guinea,2159,Equatorial Guinea,2005,3.9048324167059425,82.0,5.410591984,,10.72504953,,7.77686311,50.256,,,177.692,31.51,7.120718438547611,,18.0,,,,61.667,0.556,19244.97593,845.034,864.726,445.146,419.58,30.828,106.0931,18.1999,23.836,27.807,39.385,4.555,15.2173,34.243,8.143,39.948,5.5595,2.2179,28.591,103.2,10.407,5.492,4.915,12.141,32.003,15.549,18.14,53,9.865005315002593
Equatorial Guinea,2164,Equatorial Guinea,2010,3.9758,90.0,5.468831964,,7.21038448,,8.476176285,50.582,,,171.755,30.76,7.245,,10.0,,,,60.48,0.579,19742.20078,1068.642,1094.524,569.73,524.794,39.0205,108.5627,19.428,29.739,27.46,51.765,4.73,14.6543,41.883,9.456,38.674,5.2088,2.1576,28.412,103.2,12.144,6.316,5.828,11.214,39.548,22.033,20.345,53,9.89051379512164
Equatorial Guinea,2167,Equatorial Guinea,2013,4.0013,89.71428571,5.503850431,,10.75628035,,8.89576419,50.803,,,167.097,29.81,7.2759,,10.28571429,,,,59.885,0.594,21134.33022,1218.502,1243.941,652.487,591.454,44.3473,110.3191,20.1237,32.782,26.543,50.878,4.091,16.9432,45.454,9.359,36.803,4.9518,2.0898,28.3,103.2,12.672,6.676,5.996,10.26,43.073,18.105,14.659,53,9.958654021938052
Equatorial Guinea,2171,Equatorial Guinea,2017,4.0184,80.34682081,5.550890776,,9.734849866,,9.45521473,51.085,,,156.047,21.03,7.3069,,19.65317919,,,,59.264,0.601,16604.26721,1424.893,1450.694,766.354,684.34,51.7181,111.9844,20.7647,35.215,24.411,51.602,3.557,19.4868,48.336,8.775,33.507,4.5989,1.9843,28.19,103.2,13.121,7.171,5.95,9.096,46.006,16.395,11.365,53,9.717415002153531
Equatorial Guinea,2173,Equatorial Guinea,2019,4.194548476,80.81395349,5.910863,,7.573677014,,9.73494,51.251,,,148.872,15.89,7.627197168,,19.18604651,,,,58.969,0.605,13447.13572,1527.688,1553.031,821.881,731.15,55.3665,112.4094,20.9734,36.004,23.292,50.685,3.264,21.2361,49.269,8.777,31.874,4.4286,1.929,28.101,103.1,13.265,7.295,5.971,8.582,46.996,14.695,9.507,53,9.506521404730474
Eritrea,1666,Eritrea,1992,,79.04761905,2.7788892436021992,,0.4632766442754977,5.439663417052583,4.750282464134265,72.081,,4.062622111662561,100.902,0.71,,,20.95238095,,,,89.734,0.4058223437171378,1090.351108,1905.111,1921.153,941.49,979.664,15.8584,96.1034,16.114,54.41,28.152,32.084,1.67,41.5058,80.588,10.31,41.697,6.1565,2.298,30.582,103.2,26.178,13.548,12.63,13.545,75.67,-22.331,-11.554,54,6.994255040785701
Eritrea,1670,Eritrea,1996,,79.04761905,3.040397283353883,,0.409057467,5.950399876,5.232279778,71.887,,4.513239861,102.475,6.02,,,20.95238095,,,,90.628,0.4211227424449898,1747.274289,2255.085,2264.074,1113.928,1150.146,18.6891,96.851,17.0832,70.404,30.707,17.977,0.794,87.2981,97.079,12.478,42.342,5.8409,2.2981,30.411,103.2,26.675,13.901,12.774,11.635,92.02,-52.425,-22.866,54,7.4658123035340465
Eritrea,1677,Eritrea,2003,,78.0,3.3265146,,0.273155469,8.761630058,7.525204897,73.133,,6.278110027,84.099,6.36,,,22.0,,,,86.625,0.437,1742.772915,2579.248,2653.39,1298.813,1354.578,21.9028,95.8833,16.9018,71.582,27.369,148.285,5.59,12.3998,96.249,11.936,36.8,5.143,2.1416,30.18,103.2,24.667,12.888,11.78,9.431,92.355,76.703,29.327,54,7.463232753039209
Eritrea,1678,Eritrea,2004,,78.0,3.5055232,,0.28274842,9.433690071,8.076519966,73.387,,6.705039978,83.737,6.48,,,22.0,,,,85.877,0.445,1617.967545,2727.533,2763.14,1353.934,1409.206,22.8087,96.0778,17.1968,77.59,28.03,71.213,2.577,26.8974,103.172,12.561,37.272,5.0356,2.1093,30.058,103.2,25.582,13.349,12.234,9.242,99.124,-6.376,-2.303,54,7.388926038702796
Eritrea,1681,Eritrea,2007,,78.0,4.042549,,0.188003748,9.261724281,8.120793724,73.59,,6.964912128,78.804,5.17,,,22.0,,,,85.299,0.457,1509.082026,2895.468,2926.168,1436.133,1490.034,24.1545,96.3826,17.065,79.565,27.109,61.399,2.098,33.0385,103.609,12.314,35.301,4.8121,2.0675,29.828,103.2,24.044,12.557,11.487,8.192,99.899,-18.156,-6.186,54,7.319256815143397
Eritrea,1683,Eritrea,2009,,78.0,4.28812536,,0.159398318,9.147080421,8.150309563,73.504,,7.138160229,75.818,4.8,,,22.0,,,,85.549,0.457,1305.673707,3054.691,3083.888,1515.585,1568.302,25.4564,96.6386,17.2864,82.742,26.717,58.394,1.894,36.597,106.54,12.518,34.402,4.6558,2.0272,29.763,103.2,23.798,12.497,11.301,7.685,102.928,-24.355,-7.865,54,7.174474437120024
Eritrea,1690,Eritrea,2016,,78.0,4.75409968,,0.191147373,8.698089243,8.042153255,72.917,,7.365952166,69.786,4.3,,,22.0,,,,87.209,0.488,1707.304054,3353.475,3365.288,1657.572,1707.716,27.7792,97.0637,17.3991,79.159,23.33,23.625,0.702,98.7389,101.487,13.408,29.91,4.1644,1.871,29.578,103.2,22.328,11.807,10.521,6.58,98.593,-55.53,-16.366,54,7.442670828783828
Estonia,1735,Estonia,1997,11.44078282,89.10891089,11.3978846,30.54140194871109,13.22654261,13.27550507,13.73643017,54.345,79.39650458,14.21773481,30.702,33.92,11.35498638,82.35565614,10.89108911,7.005673345900035,1.018,16.927461824047864,71.079,0.757,12546.47645,1426.525,1421.49,661.395,760.095,32.7035,87.0148,35.9993,-5.782,-4.061,-10.07,-0.708,,12.726,1.505,8.941,1.3175,0.6241,26.094,106.5,18.508,9.375,9.132,13.002,12.61,-4.299,-3.02,55,9.437195144183018
Estonia,1740,Estonia,2002,12.64288648,82.17821782,12.51729012,26.65352107404733,11.1004157,14.61266041,15.63121033,51.16,88.89011002,16.70009041,23.131,23.68,12.36430963,91.89849243,17.82178218,5.4929783465730635,1.035,14.218439345458473,64.442,0.807,16735.13159,1383.395,1379.24,642.109,737.132,31.7315,87.1091,37.5999,-5.322,-3.855,-8.31,-0.603,,12.998,1.148,9.413,1.3557,0.6482,27.4,105.8,18.32,9.349,8.971,13.268,12.92,-2.984,-2.161,55,9.725265476775553
Estonia,1744,Estonia,2006,13.42210007,81.18811881,13.20042992,23.260562394538862,12.22969653,14.95466995,16.06500053,54.771,90.81528854,17.21570015,23.587,41.76,12.94262981,93.28622131,18.81188119,4.306910931492221,1.04,11.94296106066409,67.639,0.847,24970.23614,1350.599,1346.709,626.08,720.63,30.9831,86.8795,38.5157,-2.374,-1.759,-7.779,-0.578,,14.95,1.141,11.077,1.5858,0.758,28.193,106.7,17.324,8.869,8.455,12.836,14.89,-5.403,-4.003,55,10.12543984017744
Estonia,1745,Estonia,2007,13.45440006,79.20792079,13.21786022,20.299522956351996,14.89381803,15.02336025,16.1149292,54.041,91.29658318,17.24865913,25.84,41.39,12.93766975,93.63315353,20.79207921,3.376944273479572,1.039,10.03164379936661,68.306,0.853,27118.50402,1342.82,1340.574,623.141,717.434,30.8419,86.857,38.6806,-1.635,-1.218,-4.491,-0.335,,15.765,1.203,11.745,1.6825,0.8052,28.352,106.2,17.4,8.962,8.438,12.963,15.696,-2.862,-2.132,55,10.207971579028456
Estonia,1748,Estonia,2010,13.69906044,77.22772277,13.33069038,17.71542,14.25965449,15.43432999,16.39779091,55.086,92.74046707,17.40553093,19.482,31.66,12.89377022,94.6739502,22.77227723,2.64778,1.029,8.426208275,66.933,0.861,23797.52137,1333.41,1331.535,620.267,711.268,30.6339,87.2058,39.2636,0.004,0.003,-3.75,-0.282,,15.804,0.726,11.852,1.7135,0.8241,29.178,105.8,15.8,7.758,8.042,11.849,15.749,-3.759,-2.819,55,10.077336710118544
Estonia,1755,Estonia,2017,14.00973988,73.26732673,13.55548,15.46027,14.24029286,15.17008018,15.9211998,57.049,96.1095295,16.71447945,9.813,44.54,13.06044006,97.10247574,26.73267327,2.07606,1.024,7.077702051,71.374,0.887,33040.70655,1315.793,1317.549,619.348,698.2,30.3122,88.7065,40.8807,-1.818,-1.383,3.511,0.266,,13.813,0.285,10.506,1.5969,0.7659,30.356,107.0,15.631,7.325,8.306,11.889,13.782,5.329,4.053,55,10.405495612091496
Eswatini,5280,Eswatini,1990,4.78,91.4893617,4.35,,1.16725031,9.375880384,9.369875389,43.886,29.77,9.363870394,133.422,,3.77,20.66,8.510638298,,1.001,28.75627085920806,66.724,0.545,5374.793585,836.36,854.011,411.659,442.352,49.1857,93.0616,14.8712,28.125,33.075,35.302,4.134,16.767,34.21,6.318,40.23,5.2502,2.3291,29.016,102.9,6.085,3.161,2.924,7.155,32.842,7.169,8.43,56,8.58947544946776
Eswatini,5281,Eswatini,1991,4.728,91.4893617,4.328,,1.031663405,9.385705621,9.403099026,43.999,29.496,9.420492431,130.506,,3.8,21.232,8.510638298,,1.004,28.725340680034893,66.141,0.543,5362.278284,871.662,889.712,429.608,460.103,51.2418,93.3722,15.1306,28.607,32.283,36.099,4.058,17.081,34.985,6.446,39.48,5.0967,2.2614,28.965,102.8,6.378,3.341,3.037,7.197,33.595,7.496,8.459,56,8.587144216740493
Eswatini,5288,Eswatini,1998,4.16,91.4893617,4.012,,1.18530326,10.24626335,10.03640683,44.983,25.766,9.826550316,105.717,,3.842,23.754,8.510638298,,0.964,28.694443769291713,61.985,0.49,5673.956599,998.297,1005.158,484.7,520.458,57.8908,93.1294,15.6939,19.793,19.631,13.721,1.365,50.78,32.41,6.576,32.146,4.0977,1.6445,28.679,102.8,12.617,6.646,5.971,12.515,30.727,-6.058,-6.009,56,8.643641966238379
Eswatini,5292,Eswatini,2002,3.594,93.68421053,3.568,,1.060684416,10.3408699,9.992480278,45.791,20.982,9.662240028,102.669,,3.542,22.47,6.315789474,,0.939,28.66358009119507,59.549,0.451,5838.861655,1046.521,1050.809,505.974,544.835,60.52,92.8673,16.663,15.612,14.807,8.575,0.816,84.9445,33.1,7.128,31.395,3.8048,1.4311,28.478,102.8,17.488,8.99,8.498,16.588,31.22,-7.036,-6.674,56,8.672291134733452
