,country,expected_years_of_schooling
1527,Denmark,19.14090919
5712,Tuvalu,10.95045597
5395,Chad,6.628439903
1426,Germany,16.48492384
1974,United Kingdom,15.67329979
3578,Maldives,12.54716593
2575,Iran (Islamic Republic of),11.53783035
1703,Spain,15.67298031
708,Bolivia (Plurinational State of),13.03919474
4076,Nigeria,8.150876681
3111,Lebanon,13.42690333
3359,Lithuania,16.28506088
5360,Syrian Arab Republic,11.42673969
2206,Greece,20.02878952
3852,Mozambique,6.869780064
2709,Italy,16.70663071
3808,Mongolia,10.1633997
2445,Hungary,15.2458601
5839,Uruguay,15.21078014
1091,Cameroon,7.83945477
1954,United Kingdom,14.27546978
3739,Malta,16.10407066
2305,Hong Kong,13.17232715
4298,Oman,10.62348595
4511,Papua New Guinea,10.36077074
779,Barbados,13.9832201
2132,Guinea-Bissau,9.625719413
5401,Chad,7.349349976
2386,Croatia,14.16623974
3278,Sri Lanka,12.89678848
3380,Luxembourg,13.93459988
2781,Jordan,10.56050968
1791,Ethiopia,9.651071421
2401,Haiti,7.23210375
3989,Malaysia,12.71901035
4673,Romania,10.99755001
3946,Malawi,10.34127998
3690,Mali,4.615330219
4227,Nauru,9.557694912
3559,Maldives,10.3082733
6081,Yemen,6.593797129
1563,Dominican Republic,14.22251987
4841,Senegal,5.207290173
2525,India,11.46362019
354,Burundi,4.496829987
816,Brunei Darussalam,14.14715958
142,United Arab Emirates,11.99505814
3427,Morocco,6.822780132
2055,Guinea,4.186532468
2514,India,10.48252964
963,Switzerland,14.13531971
2230,Grenada,18.27810478
5933,Saint Vincent and the Grenadines,13.23293972
404,Belgium,19.07272911
3624,Marshall Islands,11.96958591376549
1372,Cyprus,15.35606003
1161,Congo,9.62896862
736,Brazil,12.10387
1056,Côte d'Ivoire,5.553355463
2405,Haiti,7.53481875
1900,Micronesia,10.379546
4838,Senegal,4.903776073
5636,Tunisia,11.3098402
37,Angola,3.553429961
905,Central African Republic,5.153041335
1721,Spain,17.47447014
2699,Italy,15.37252045
2269,Guatemala,10.56245041
3563,Maldives,11.97014046
5274,Sweden,18.83242989
3072,Lao People's Democratic Republic,6.586619854
4525,Poland,15.46210957
3165,Liberia,10.34691919
2358,Honduras,10.06435013
3588,Mexico,10.80282021
1757,Estonia,15.92895985
889,Botswana,12.32254684
2343,Honduras,8.978925896
5691,Türkiye,17.98140907
3700,Mali,7.598370075
3176,Libya,15.32916684
3841,Mozambique,3.702022453
3996,Malaysia,13.54508018
5498,Tajikistan,11.5214298
3350,Lithuania,16.67333031
343,Azerbaijan,12.48489929
251,Antigua and Barbuda,14.37370453
546,Bahrain,13.32565022
220,Armenia,13.06861019
4537,Poland,16.01518949
4760,Rwanda,11.45512009
4512,Poland,12.23526001
2034,Ghana,10.03230953
1738,Estonia,14.98546982
1935,Gabon,12.37941444
1666,Eritrea,8.292456268999999
5101,South Sudan,11.96958591376549
2235,Grenada,18.48951912
2734,Jamaica,12.29020023
1411,Germany,15.50872993
3587,Mexico,10.7047596
2829,Kazakhstan,13.57870007
5415,Togo,8.917267799
3373,Luxembourg,13.52670002
1116,Cameroon,12.76488609
637,Bosnia and Herzegovina,13.8
1231,Comoros,9.961290169
6020,Vanuatu,11.252448605000001
3129,Lebanon,11.14674
5737,Tanzania,6.065797769
3401,Latvia,13.50590992
1163,Congo,9.314582634
3929,Mauritius,15.05727005
852,Bhutan,11.67940998
4985,El Salvador,12.56406608
5681,Türkiye,12.55862045
287,Australia,21.05459023
5419,Togo,9.9103899
3117,Lebanon,14.16059
5211,Slovakia,14.48703957
4681,Romania,11.51214981
4613,Paraguay,9.850580215
1795,Finland,15.87520027
5614,Trinidad and Tobago,12.26576996
5582,Tonga,14.61574162
524,Bulgaria,12.82250977
3752,Myanmar,7.474670172
5864,United States of America,15.96201992
4432,Philippines,11.36717987
651,Belarus,13.67629938
4417,Philippines,10.78501034
3149,Liberia,10.32064889
2084,Gambia,5.305985425
3222,Saint Lucia,13.40992892
2748,Jamaica,13.332418
2440,Hungary,13.43634033
3476,Monaco,11.96958591376549
5105,South Sudan,11.96958591376549
3277,Sri Lanka,12.7775566
466,Burkina Faso,5.865530014
4661,Qatar,13.49617958
1173,Congo,10.53042094
6143,South Africa,13.64371014
4754,Rwanda,10.40192032
1779,Ethiopia,8.126139641
5071,Serbia,13.41617966
4732,Russian Federation,15.7072401
6122,South Africa,13.09522311
162,Argentina,13.19059308
5747,Tanzania,8.999736089
313,Austria,15.95141029
3172,Libya,14.67286368
624,Bosnia and Herzegovina,12.9
3330,Lithuania,12.19863033
4314,Oman,14.63817978
866,Botswana,10.88855982
4445,Philippines,13.39021015
921,Central African Republic,7.335162868
1766,Ethiopia,2.884079933
6010,Viet Nam,12.79553629
3459,Monaco,11.96958591376549
3365,Luxembourg,11.82686996
3884,Mauritania,6.644999981
2237,Grenada,18.66202035
5701,Tuvalu,9.94137156
5911,Uzbekistan,11.66324043
4514,Poland,12.25127983
2493,Indonesia,13.74889386
2499,India,8.088162214
5726,Tuvalu,9.40443
1244,Comoros,11.78519004
3919,Mauritius,13.42304039
3689,Mali,4.391610146
5370,Syrian Arab Republic,9.164219856
1405,Czechia,16.21968079
1219,Comoros,8.202195985
1465,Djibouti,6.755274027
4892,Singapore,16.51959038
1928,Gabon,12.17173
1481,Dominica,12.959436875000002
1902,Micronesia,10.704932
5654,Tunisia,14.7186451
1800,Finland,17.03973007
1610,Ecuador,13.10713019
5760,Uganda,5.721580029
3780,Montenegro,12.544469485
23,Afghanistan,9.875836372
3928,Mauritius,15.31830978
4915,Solomon Islands,10.1988068
2490,Indonesia,13.35651016
4666,Qatar,12.21823025
3096,Lao People's Democratic Republic,11.09206963
536,Bulgaria,15.08736992
125,Andorra,13.30023874
1617,Ecuador,14.22512354
1360,Cyprus,13.53201962
2786,Japan,13.0659399
587,Bahamas,12.141925
2867,Kenya,10.26786041
4400,Peru,12.81361008
3830,Mongolia,14.6726923
2706,Italy,16.43112946
5628,Trinidad and Tobago,14.39769272
5898,Uzbekistan,10.80943012
5929,Saint Vincent and the Grenadines,12.66779151
6151,Zambia,8.142362595
5372,Syrian Arab Republic,9.164219856
45,Angola,5.817049225
1013,Chile,15.32625008
1031,China,9.119890213
3778,Montenegro,12.544469485
2992,Saint Kitts and Nevis,14.35250893
4622,Paraguay,12.16732025
825,Brunei Darussalam,14.62773037
169,Argentina,14.99421978
1593,Algeria,14.43048545
4115,Nicaragua,10.70237017
1653,Egypt,11.98482037
4331,Pakistan,5.223756057
3428,Morocco,7.084599972
4854,Senegal,8.975609779
6083,Yemen,6.889313694
2452,Hungary,15.2641201
5337,Seychelles,14.19937992
338,Azerbaijan,11.6598182
4106,Nicaragua,10.23749733
3790,Montenegro,12.8471899
1324,Cuba,12.97049046
4831,Sudan,7.945187858
2071,Guinea,8.783830166
4007,Namibia,11.61816025
2718,Italy,16.22678947
6171,Zambia,10.92797089
1456,Djibouti,4.50620985
5156,Suriname,11.67335669
2222,Grenada,16.7538281
4164,Norway,16.11097908
3718,Malta,13.36067009
1073,Côte d'Ivoire,7.624465275
1191,Colombia,11.36605501
3601,Mexico,13.03225994
3051,Kuwait,12.72832966
630,Bosnia and Herzegovina,14.17568
5770,Uganda,8.521662076
3737,Malta,15.70611954
3701,Mali,7.755449772
5626,Trinidad and Tobago,14.12607684
2357,Honduras,10.1966753
3750,Myanmar,7.347003539
2818,Kazakhstan,12.44013023
4119,Nicaragua,11.44569627
4305,Oman,12.0812397
1724,Spain,17.75741005
2737,Jamaica,12.56105456
2250,Guatemala,8.368612698
4171,Norway,17.0864296
499,Bangladesh,9.224510193
1496,Dominica,13.16086686
2469,Indonesia,10.06046009
1139,Democratic Republic of the Congo,8.856789589
6003,Viet Nam,12.43791733
2669,Israel,16.09560013
3596,Mexico,12.3741703
5045,Somalia,11.96958591376549
2929,Cambodia,10.53528976
4078,Nigeria,8.959830284
2284,Guyana,10.84093677
2686,Israel,16.05088997
3080,Lao People's Democratic Republic,7.918769836
3197,Libya,12.85428
5759,Tanzania,9.221489906
1727,Spain,17.91690063
2057,Guinea,4.87955752
1687,Eritrea,8.550202608
2363,Honduras,9.807000421
364,Burundi,4.851799965
464,Burkina Faso,4.932059765
2328,Hong Kong,16.3194294
5885,United States of America,16.28097916
3523,Madagascar,6.881858253
2033,Ghana,9.453829765
4772,Saudi Arabia,10.33930641
4095,Nigeria,10.12758388
5966,Venezuela (Bolivarian Republic of),12.02495956
2496,India,7.996357701
4422,Philippines,11.12605
4276,New Zealand,18.51130272
2271,Guatemala,10.56245041
4107,Nicaragua,10.55008888
1271,Cabo Verde,13.48058033
1041,China,11.72490025
4939,Sierra Leone,6.35281992
5368,Syrian Arab Republic,9.164219856
3195,Libya,12.789937
120,Andorra,13.495076
5748,Tanzania,9.293129921
2721,Jamaica,11.26696968
2001,Georgia,13.69944
3416,Latvia,15.81700039
4294,Oman,9.740269661
3132,Lebanon,11.28587
4974,El Salvador,12.34562016
4657,Qatar,12.45077491
5763,Uganda,5.477469921
5559,Timor-Leste,12.65309
4234,Nauru,9.548890114
5980,Venezuela (Bolivarian Republic of),12.81608
412,Belgium,19.5610199
6038,Vanuatu,11.09688717
3494,Moldova,8.651430579
2880,Kyrgyzstan,12.02089977
3897,Mauritania,9.02560997
