,country,expected_years_of_schooling
299,Austria,15.32173983
297,Austria,15.19770643
296,Austria,15.13568974
293,Austria,14.87022972
298,Austria,15.25972313
289,Austria,14.12351036
290,Austria,14.42138958
314,Austria,16.08119011
318,Austria,16.00795937
315,Austria,16.09206963
300,Austria,15.38375653
305,Austria,15.69384003
307,Austria,15.75800037
301,Austria,15.44577323
316,Austria,16.06674957
302,Austria,15.50778993
295,Austria,15.00123024
310,Austria,16.08506012
317,Austria,16.00795937
311,Austria,15.84848976
291,Austria,14.62442017
288,Austria,13.93255997
350,Azerbaijan,13.49689007
328,Azerbaijan,10.009656
348,Azerbaijan,13.30998039
346,Azerbaijan,12.97994795
347,Azerbaijan,13.14496417
344,Azerbaijan,12.64991551
333,Azerbaijan,10.8347371
340,Azerbaijan,11.98985063
331,Azerbaijan,10.50470466
330,Azerbaijan,10.33968844
334,Azerbaijan,10.99975332
339,Azerbaijan,11.82483441
335,Azerbaijan,11.16476954
326,Azerbaijan,9.938559532
329,Azerbaijan,10.17467222
336,Azerbaijan,11.32978576
341,Azerbaijan,12.15486685
323,Azerbaijan,10.8030901
321,Azerbaijan,11.00049019
351,Azerbaijan,13.49689007
342,Azerbaijan,12.31988307
337,Azerbaijan,11.49480198
349,Azerbaijan,13.47167015
325,Azerbaijan,10.23556995
322,Azerbaijan,11.03785992
327,Azerbaijan,9.844639778
597,Bahamas,12.52655756
585,Bahamas,11.99959667
581,Bahamas,11.72089958
583,Bahamas,11.85726833
599,Bahamas,12.64498654
596,Bahamas,12.46734308
591,Bahamas,12.42658167
576,Bahamas,12.24867125
586,Bahamas,12.07076083
582,Bahamas,11.78610417
595,Bahamas,12.40812859
590,Bahamas,12.3554175
600,Bahamas,12.70420103
604,Bahamas,12.82263
603,Bahamas,12.82263
578,Bahamas,12.86104
605,Bahamas,12.89945
602,Bahamas,12.82263
598,Bahamas,12.58577205
607,Bahamas,12.89945
584,Bahamas,11.9284325
601,Bahamas,12.76341551
588,Bahamas,12.21308917
580,Bahamas,12.3554175
592,Bahamas,12.49774583
579,Bahamas,
549,Bahrain,13.69696045
553,Bahrain,13.25187969
558,Bahrain,13.31849527
566,Bahrain,13.35527039
562,Bahrain,13.36084385
561,Bahrain,13.28608189
571,Bahrain,16.41513062
554,Bahrain,13.32763982
557,Bahrain,13.5549202
570,Bahrain,16.34917068
550,Bahrain,13.61559963
568,Bahrain,13.6883297
563,Bahrain,13.43560581
575,Bahrain,16.29755974
565,Bahrain,13.58512974
569,Bahrain,15.99201965
551,Bahrain,13.49435965
573,Bahrain,16.29755974
555,Bahrain,13.40339994
545,Bahrain,13.60251045
548,Bahrain,13.5984602
556,Bahrain,13.47916007
552,Bahrain,13.37311967
544,Bahrain,13.88512287
564,Bahrain,13.51036777
572,Bahrain,16.25481987
497,Bangladesh,8.862529755
487,Bangladesh,7.166887474
490,Bangladesh,7.738853455
481,Bangladesh,6.022955513
510,Bangladesh,12.44198036
503,Bangladesh,10.41130018
511,Bangladesh,12.44198036
500,Bangladesh,9.52120769
480,Bangladesh,5.832300186
483,Bangladesh,6.404266167
506,Bangladesh,11.30139267
504,Bangladesh,10.70799768
501,Bangladesh,9.817905188
491,Bangladesh,7.929508781
484,Bangladesh,6.594921494
485,Bangladesh,6.78557682
489,Bangladesh,7.548198128
492,Bangladesh,8.120164108
509,Bangladesh,12.23883533
482,Bangladesh,6.21361084
496,Bangladesh,8.817440033
502,Bangladesh,10.11460268
486,Bangladesh,6.976232147
508,Bangladesh,12.03569031
488,Bangladesh,7.357542801
771,Barbados,13.18203672
789,Barbados,15.28594971
782,Barbados,14.61498499
794,Barbados,15.55171351
791,Barbados,15.39170584
770,Barbados,13.04566786
780,Barbados,14.1938084
777,Barbados,14.00024986
785,Barbados,15.24674988
786,Barbados,15.53966475
787,Barbados,15.83257961
799,Barbados,15.71338458
783,Barbados,14.82557329
797,Barbados,15.71338458
792,Barbados,15.44485797
778,Barbados,14.03750992
798,Barbados,15.71338458
772,Barbados,13.31840558
775,Barbados,13.72751215
769,Barbados,12.909299
790,Barbados,15.33873663
788,Barbados,15.47286034
776,Barbados,13.86388101
795,Barbados,15.6054182
768,Barbados,12.77293015
652,Belarus,13.93546238
658,Belarus,15.49044037
662,Belarus,15.84352016
641,Belarus,12.82841015
640,Belarus,12.98762035
644,Belarus,12.49347019
653,Belarus,14.19462538
654,Belarus,14.45378838
642,Belarus,12.56779957
655,Belarus,14.71295137
643,Belarus,12.5387001
659,Belarus,15.57968044
663,Belarus,15.72134018
664,Belarus,15.62298012
670,Belarus,15.16996956
656,Belarus,14.97211437
667,Belarus,15.58522987
657,Belarus,15.23127737
647,Belarus,12.96228027
648,Belarus,12.89881039
665,Belarus,15.56527996
650,Belarus,13.41713638
660,Belarus,15.59533978
671,Belarus,15.16996956
669,Belarus,15.23906994
645,Belarus,12.56346989
411,Belgium,19.77437973
397,Belgium,18.61226082
392,Belgium,17.68751399
413,Belgium,19.60421944
393,Belgium,17.73599052
386,Belgium,15.30761433
402,Belgium,18.99139023
391,Belgium,17.63903745
415,Belgium,19.60421944
385,Belgium,14.07164955
403,Belgium,19.01243019
400,Belgium,18.94267082
409,Belgium,19.76292038
390,Belgium,17.59056091
407,Belgium,19.41551018
408,Belgium,19.69639015
387,Belgium,16.5435791
388,Belgium,16.8515892
401,Belgium,18.96904945
395,Belgium,18.38311005
406,Belgium,19.22763062
414,Belgium,19.60421944
394,Belgium,17.92453957
384,Belgium,14.03106022
410,Belgium,19.69990921
389,Belgium,17.26285934
691,Belize,12.44060993
683,Belize,11.86443043
701,Belize,13.14089012
680,Belize,11.31202208
676,Belize,10.61527814
677,Belize,10.78533389
674,Belize,10.28316832
687,Belize,12.30352974
698,Belize,13.43655014
678,Belize,10.95811392
696,Belize,12.74405003
694,Belize,12.90536976
672,Belize,9.961448904
686,Belize,12.84521008
700,Belize,13.14904976
690,Belize,12.70681953
688,Belize,12.81752968
685,Belize,12.54374027
684,Belize,12.20408535
693,Belize,12.50613976
689,Belize,12.76706982
703,Belize,12.99168968
681,Belize,11.49323961
673,Belize,10.12103037
682,Belize,11.67736022
434,Benin,10.25439685
433,Benin,9.860012599
425,Benin,6.460440159
430,Benin,8.676859856
418,Benin,5.532686667
432,Benin,9.465628351
426,Benin,6.7301898
436,Benin,11.04316534
435,Benin,10.6487811
431,Benin,9.071244104
443,Benin,12.15258217
444,Benin,11.6906147
441,Benin,12.80451012
419,Benin,5.65269
445,Benin,11.22864723
447,Benin,10.76667976
429,Benin,8.28660965
422,Benin,6.0127
424,Benin,6.252706667
417,Benin,5.412683333
427,Benin,7.39605999
421,Benin,5.892696667
437,Benin,11.43754959
423,Benin,6.132703333
440,Benin,12.56748962
446,Benin,10.76667976
857,Bhutan,12.74369431
833,Bhutan,4.862608903
862,Bhutan,13.22500478
847,Bhutan,9.365929604
838,Bhutan,6.158584821
860,Bhutan,13.10214043
840,Bhutan,6.76901633
835,Bhutan,5.34458484
843,Bhutan,7.853016535
849,Bhutan,10.22360992
856,Bhutan,12.62421227
845,Bhutan,8.60947307
834,Bhutan,5.097904062
832,Bhutan,4.638173857
858,Bhutan,12.86317635
853,Bhutan,12.15114021
854,Bhutan,12.54778004
842,Bhutan,7.474788268
846,Bhutan,8.987701337
863,Bhutan,13.22500478
855,Bhutan,12.50473022
837,Bhutan,5.874333651
859,Bhutan,12.98265839
839,Bhutan,6.456590526
851,Bhutan,11.19859982
844,Bhutan,8.231244802
707,Bolivia (Plurinational State of),12.65846893
724,Bolivia (Plurinational State of),14.24979448
705,Bolivia (Plurinational State of),11.93004266
729,Bolivia (Plurinational State of),13.97757244
717,Bolivia (Plurinational State of),13.58593919
706,Bolivia (Plurinational State of),12.28885977
712,Bolivia (Plurinational State of),15.47150728
722,Bolivia (Plurinational State of),14.31380558
726,Bolivia (Plurinational State of),14.38624668
704,Bolivia (Plurinational State of),11.58170251
732,Bolivia (Plurinational State of),15.01584721
735,Bolivia (Plurinational State of),14.94697094
716,Bolivia (Plurinational State of),13.96305281
713,Bolivia (Plurinational State of),15.09439366
731,Bolivia (Plurinational State of),14.90059471
721,Bolivia (Plurinational State of),14.26336479
711,Bolivia (Plurinational State of),14.86342914
709,Bolivia (Plurinational State of),13.64727287
723,Bolivia (Plurinational State of),14.28142166
710,Bolivia (Plurinational State of),14.25535101
727,Bolivia (Plurinational State of),14.57401371
718,Bolivia (Plurinational State of),13.20882558
714,Bolivia (Plurinational State of),14.71728005
734,Bolivia (Plurinational State of),14.94697094
725,Bolivia (Plurinational State of),14.2181673
628,Bosnia and Herzegovina,13.4
612,Bosnia and Herzegovina,13.749033335
631,Bosnia and Herzegovina,14.09806667
621,Bosnia and Herzegovina,12.276
625,Bosnia and Herzegovina,13.1
627,Bosnia and Herzegovina,13.3
634,Bosnia and Herzegovina,13.86522667
613,Bosnia and Herzegovina,13.867543335
629,Bosnia and Herzegovina,13.86986
633,Bosnia and Herzegovina,13.94284
611,Bosnia and Herzegovina,12.79142
618,Bosnia and Herzegovina,11.64
639,Bosnia and Herzegovina,13.8
623,Bosnia and Herzegovina,12.7
608,Bosnia and Herzegovina,12.382
620,Bosnia and Herzegovina,12.064
638,Bosnia and Herzegovina,13.8
615,Bosnia and Herzegovina,12.826
616,Bosnia and Herzegovina,12.826
609,Bosnia and Herzegovina,12.826
610,Bosnia and Herzegovina,12.826
614,Bosnia and Herzegovina,12.826
619,Bosnia and Herzegovina,11.852
632,Bosnia and Herzegovina,14.02045333
636,Bosnia and Herzegovina,13.78761333
871,Botswana,11.80816015
869,Botswana,11.34827995
876,Botswana,12.43245029
865,Botswana,10.85219002
870,Botswana,11.57822005
883,Botswana,12.40916486
877,Botswana,12.49789047
887,Botswana,12.35135213
873,Botswana,12.43167019
894,Botswana,12.26513765
884,Botswana,12.39468636
864,Botswana,10.8159417
891,Botswana,12.29380874
875,Botswana,12.64445019
886,Botswana,12.36578001
867,Botswana,10.92492962
878,Botswana,12.48451996
888,Botswana,12.33694108
872,Botswana,12.03810024
893,Botswana,12.26513765
880,Botswana,12.61843014
879,Botswana,12.47957039
885,Botswana,12.38022475
868,Botswana,10.89109039
874,Botswana,12.59014034
882,Botswana,12.42366028
748,Brazil,14.77079964
737,Brazil,12.32611417
766,Brazil,15.59906006
756,Brazil,13.85643482
753,Brazil,13.30270004
744,Brazil,13.88182333
742,Brazil,13.437335
765,Brazil,15.59906006
759,Brazil,15.29059029
741,Brazil,13.21509083
757,Brazil,13.9306097
745,Brazil,14.1040675
754,Brazil,13.80420971
760,Brazil,15.41777039
755,Brazil,13.78225994
746,Brazil,14.32631167
763,Brazil,15.48515987
750,Brazil,13.85000992
762,Brazil,15.45316982
740,Brazil,12.99284667
764,Brazil,15.70306015
751,Brazil,13.77737045
749,Brazil,14.01426983
747,Brazil,14.54855583
767,Brazil,15.59906006
758,Brazil,13.93663025
823,Brunei Darussalam,14.93539047
809,Brunei Darussalam,13.21045017
800,Brunei Darussalam,11.82485347
820,Brunei Darussalam,14.07944012
822,Brunei Darussalam,14.91536999
819,Brunei Darussalam,14.11898994
802,Brunei Darussalam,12.25883961
804,Brunei Darussalam,12.60186005
826,Brunei Darussalam,14.59230995
827,Brunei Darussalam,14.46683025
813,Brunei Darussalam,13.52630997
814,Brunei Darussalam,13.89377975
810,Brunei Darussalam,13.18352985
801,Brunei Darussalam,12.03989128
805,Brunei Darussalam,12.67656755
830,Brunei Darussalam,13.95178032
812,Brunei Darussalam,13.22542953
803,Brunei Darussalam,12.48176956
808,Brunei Darussalam,12.90069008
828,Brunei Darussalam,14.3050499
815,Brunei Darussalam,14.09928989
829,Brunei Darussalam,14.06389046
817,Brunei Darussalam,14.03194046
807,Brunei Darussalam,12.82598257
831,Brunei Darussalam,13.95178032
818,Brunei Darussalam,13.96432018
528,Bulgaria,13.61937046
531,Bulgaria,14.16950035
522,Bulgaria,12.89188957
534,Bulgaria,14.52600956
530,Bulgaria,14.07046986
514,Bulgaria,11.96708965
541,Bulgaria,13.89729023
529,Bulgaria,13.98136044
525,Bulgaria,13.21469975
542,Bulgaria,13.89729023
519,Bulgaria,12.69814014
527,Bulgaria,13.50434017
513,Bulgaria,12.13146019
515,Bulgaria,11.87059021
543,Bulgaria,13.89729023
533,Bulgaria,14.4906702
518,Bulgaria,12.5900898
520,Bulgaria,12.78738976
526,Bulgaria,13.40837955
537,Bulgaria,14.94668007
532,Bulgaria,14.42580032
521,Bulgaria,12.90668011
512,Bulgaria,12.01097965
523,Bulgaria,12.89208031
539,Bulgaria,14.41442013
540,Bulgaria,14.19587994
459,Burkina Faso,3.598469973
454,Burkina Faso,3.109319925
476,Burkina Faso,9.273730278
468,Burkina Faso,6.710559845
473,Burkina Faso,8.258930206
475,Burkina Faso,8.906479836
449,Burkina Faso,2.591730118
462,Burkina Faso,4.284245014
460,Burkina Faso,3.756090045
463,Burkina Faso,4.654779911
450,Burkina Faso,2.666199923
457,Burkina Faso,3.439589977
465,Burkina Faso,5.392109871
470,Burkina Faso,7.472980022
448,Burkina Faso,2.471770048
461,Burkina Faso,3.913710117
455,Burkina Faso,3.219409943
467,Burkina Faso,6.287809849
479,Burkina Faso,9.142100334
458,Burkina Faso,3.519029975
474,Burkina Faso,8.525589943
478,Burkina Faso,9.142100334
452,Burkina Faso,2.889139891
472,Burkina Faso,7.867080212
456,Burkina Faso,3.32949996
451,Burkina Faso,2.766360044
380,Burundi,10.77536964
374,Burundi,10.82979965
379,Burundi,10.93010998
352,Burundi,4.517509937
360,Burundi,4.600891054
370,Burundi,8.883244991
358,Burundi,4.676218569
361,Burundi,4.563227296
357,Burundi,4.713882327
356,Burundi,4.751546085
373,Burundi,10.53827477
376,Burundi,11.37755013
367,Burundi,6.056119919
383,Burundi,10.72272189
353,Burundi,4.67140007
363,Burundi,4.48789978
375,Burundi,11.06155014
368,Burundi,7.438610077
369,Burundi,8.134220123
359,Burundi,4.638554811
371,Burundi,9.632269859
366,Burundi,5.738090038
377,Burundi,11.52795982
372,Burundi,10.24674988
365,Burundi,5.294945002
378,Burundi,11.48011017
1277,Cabo Verde,12.55461444
1257,Cabo Verde,12.800982184999999
1253,Cabo Verde,12.800982184999999
1274,Cabo Verde,13.04734993
1273,Cabo Verde,13.14307022
1263,Cabo Verde,11.57098007
1254,Cabo Verde,12.062797255
1279,Cabo Verde,12.55461444
1255,Cabo Verde,12.75435705
1249,Cabo Verde,12.75435705
1275,Cabo Verde,12.95409966
1250,Cabo Verde,13.177134995
1272,Cabo Verde,13.40017033
1264,Cabo Verde,12.32139015
1260,Cabo Verde,11.5943203
1276,Cabo Verde,12.70419979
1256,Cabo Verde,12.869874955
1270,Cabo Verde,13.03555012
1267,Cabo Verde,12.60636997
1248,Cabo Verde,12.580492204999999
1251,Cabo Verde,12.580492204999999
1278,Cabo Verde,12.55461444
1266,Cabo Verde,12.57143021
1269,Cabo Verde,13.01834011
1252,Cabo Verde,12.215980055
1262,Cabo Verde,11.41362
2913,Cambodia,7.091509819
2925,Cambodia,9.720649719
2934,Cambodia,10.9404126
2933,Cambodia,10.84350783
2938,Cambodia,11.33676945
2914,Cambodia,7.151366499
2928,Cambodia,10.3614502
2922,Cambodia,7.630219936
2924,Cambodia,9.320349693
2932,Cambodia,10.7474614
2942,Cambodia,11.46772
2926,Cambodia,10.00885963
2917,Cambodia,7.330936538
2937,Cambodia,11.23635395
2930,Cambodia,10.55445004
2920,Cambodia,7.510506577
2923,Cambodia,8.236160278
2915,Cambodia,7.211223178
2931,Cambodia,10.6522657
2927,Cambodia,10.18515491
2935,Cambodia,11.03818337
2912,Cambodia,7.032154138
2916,Cambodia,7.271079858
2921,Cambodia,7.570363257
2939,Cambodia,11.33676945
2943,Cambodia,11.46772
1095,Cameroon,7.312984824
1092,Cameroon,7.707837284
1113,Cameroon,12.15102959
1093,Cameroon,7.576219797
1112,Cameroon,11.83732033
1090,Cameroon,7.971072257
1101,Cameroon,8.423390388
1096,Cameroon,7.181367338
1118,Cameroon,13.10859922
1108,Cameroon,10.23908997
1097,Cameroon,7.049749851
1119,Cameroon,13.10859922
1110,Cameroon,11.20685005
1100,Cameroon,8.284290314
1111,Cameroon,11.52208519
1099,Cameroon,8.555069923
1117,Cameroon,13.10859922
1098,Cameroon,7.280370235
1105,Cameroon,8.967740059
1104,Cameroon,8.196840286
1115,Cameroon,12.43018527
1103,Cameroon,8.420700073
1109,Cameroon,10.60760975
1106,Cameroon,9.401260376
1089,Cameroon,8.102689743
1102,Cameroon,8.461409569
935,Canada,16.51167965
956,Canada,16.22464943
930,Canada,17.26371956
943,Canada,15.3925611
941,Canada,15.58767251
932,Canada,16.95997047
953,Canada,15.89140034
949,Canada,15.23602962
944,Canada,15.29500539
937,Canada,15.96514988
952,Canada,15.80449009
959,Canada,16.39625931
948,Canada,15.12164974
939,Canada,15.78278392
942,Canada,15.4901168
934,Canada,16.95886993
928,Canada,16.76796913
938,Canada,15.88033962
947,Canada,15.23289013
940,Canada,15.68522821
945,Canada,15.19744968
933,Canada,16.94639015
929,Canada,17.12656021
936,Canada,16.06448936
950,Canada,15.65993023
951,Canada,15.73849964
914,Central African Republic,6.270534179
918,Central African Republic,6.847280025
913,Central African Republic,6.146368307
927,Central African Republic,8.040171714
907,Central African Republic,5.401373078
915,Central African Republic,6.39470005
925,Central African Republic,8.040171714
920,Central African Republic,7.168790198
926,Central African Republic,8.040171714
897,Central African Republic,5.059050083
898,Central African Republic,4.283880234
896,Central African Republic,5.387440205
916,Central African Republic,6.62659502
902,Central African Republic,4.78054372
911,Central African Republic,5.898036564
919,Central African Republic,7.006191114
901,Central African Republic,4.656377848
909,Central African Republic,5.649704821
904,Central African Republic,5.028875463
899,Central African Republic,4.408046105
917,Central African Republic,6.85848999
906,Central African Republic,5.277207206
908,Central African Republic,5.525538949
910,Central African Republic,5.773870693
924,Central African Republic,7.85780837
922,Central African Republic,7.5053967
5376,Chad,2.415178514
5398,Chad,7.460413456
5403,Chad,7.684968888
5388,Chad,5.408710003
5405,Chad,8.035914334
5407,Chad,8.035914334
5377,Chad,2.586861517
5389,Chad,5.549650192
5379,Chad,2.967707318
5406,Chad,8.035914334
5386,Chad,4.845379829
5397,Chad,7.250840187
5390,Chad,5.626329899
5382,Chad,3.646640062
5393,Chad,5.971943378
5399,Chad,7.669986725
5380,Chad,3.17866684
5378,Chad,2.770748609
5392,Chad,5.717326641
5381,Chad,3.404622423
5404,Chad,7.858482783
5394,Chad,6.226560116
5387,Chad,5.128560066
5383,Chad,3.976520061
