,country,human_development_index,gross_national_income_per_capita_2017_ppp_log,median_age_as_of_july_1st_years,mean_years_of_schooling,rate_of_natural_change_per_1000_population,net_reproduction_rate_surviving_daughters_per_woman,adolescent_birth_rate_per_1000_women_ages_15_19,total_fertility_rate_live_births_per_woman,crude_birth_rate_births_per_1000_population
3235,Liechtenstein,True,False,False,False,False,False,False,False,False
242,Antigua and Barbuda,False,False,False,False,False,False,False,False,False
3847,Mozambique,False,False,False,False,False,False,False,False,False
5964,Venezuela (Bolivarian Republic of),False,False,False,False,False,False,False,False,False
5399,Chad,False,False,False,False,False,False,False,False,False
4791,Saudi Arabia,False,False,False,False,False,False,False,False,False
3707,Mali,False,False,False,False,False,False,False,False,False
1142,Democratic Republic of the Congo,False,False,False,False,False,False,False,False,False
246,Antigua and Barbuda,False,False,False,False,False,False,False,False,False
4375,Panama,False,False,False,False,False,False,False,False,False
5495,Tajikistan,False,False,False,False,False,False,False,False,False
4006,Namibia,False,False,False,False,False,False,False,False,False
2603,Iraq,False,False,False,False,False,False,False,False,False
5278,Sweden,False,False,False,False,False,False,False,False,False
1105,Cameroon,False,False,False,False,False,False,False,False,False
2336,Honduras,False,False,False,False,False,False,False,False,False
3894,Mauritania,False,False,False,False,False,False,False,False,False
2913,Cambodia,False,False,False,False,False,False,False,False,False
6069,Samoa,False,False,False,False,False,False,False,False,False
2898,Kyrgyzstan,False,False,False,False,False,False,False,False,False
2784,Japan,False,False,False,False,False,False,False,False,False
6010,Viet Nam,False,False,False,False,False,False,False,False,False
5607,Trinidad and Tobago,False,False,False,False,False,False,False,False,False
1525,Denmark,False,False,False,False,False,False,False,False,False
3734,Malta,False,False,False,False,False,False,False,False,False
4809,Sudan,False,False,False,False,False,False,False,False,False
6034,Vanuatu,False,False,False,False,False,False,False,False,False
3191,Libya,False,False,False,False,False,False,False,False,False
5968,Venezuela (Bolivarian Republic of),False,False,False,False,False,False,False,False,False
4953,Sierra Leone,False,False,False,False,False,False,False,False,False
2595,Iraq,False,False,False,False,False,False,False,False,False
237,Antigua and Barbuda,True,False,False,False,False,False,False,False,False
56,Angola,False,False,False,False,False,False,False,False,False
3708,Mali,False,False,False,False,False,False,False,False,False
3343,Lithuania,False,False,False,False,False,False,False,False,False
4360,Panama,False,False,False,False,False,False,False,False,False
4019,Namibia,False,False,False,False,False,False,False,False,False
6060,Samoa,False,False,False,False,False,False,False,False,False
1449,Djibouti,False,False,False,False,False,False,False,False,False
6150,Zambia,False,False,False,False,False,False,False,False,False
396,Belgium,False,False,False,False,False,False,False,False,False
889,Botswana,False,False,False,False,False,False,False,False,False
5543,Timor-Leste,True,False,False,True,False,False,False,False,False
13,Afghanistan,False,False,False,False,False,False,False,False,False
4866,Singapore,False,False,False,False,False,False,False,False,False
1021,Chile,False,False,False,False,False,False,False,False,False
618,Bosnia and Herzegovina,False,False,False,False,False,False,False,False,False
1218,Comoros,True,False,False,True,False,False,False,False,False
507,Bangladesh,False,False,False,False,False,False,False,False,False
2342,Honduras,False,False,False,False,False,False,False,False,False
4646,Qatar,False,False,False,False,False,False,False,False,False
2782,Jordan,False,False,False,False,False,False,False,False,False
3713,Malta,False,False,False,False,False,False,False,False,False
87,Albania,False,False,False,False,False,False,False,False,False
4916,Solomon Islands,False,False,False,False,False,False,False,False,False
694,Belize,False,False,False,False,False,False,False,False,False
4843,Senegal,False,False,False,False,False,False,False,False,False
3084,Lao People's Democratic Republic,False,False,False,False,False,False,False,False,False
5972,Venezuela (Bolivarian Republic of),False,False,False,False,False,False,False,False,False
4780,Saudi Arabia,False,False,False,False,False,False,False,False,False
2097,Gambia,False,False,False,False,False,False,False,False,False
1596,Algeria,False,False,False,False,False,False,False,False,False
4910,Solomon Islands,False,False,False,False,False,False,False,False,False
236,Antigua and Barbuda,True,False,False,False,False,False,False,False,False
3611,Mexico,False,False,False,False,False,False,False,False,False
4148,Netherlands,False,False,False,False,False,False,False,False,False
3730,Malta,False,False,False,False,False,False,False,False,False
3990,Malaysia,False,False,False,False,False,False,False,False,False
4186,Norway,False,False,False,False,False,False,False,False,False
2752,Jordan,False,False,False,False,False,False,False,False,False
5057,Serbia,True,True,False,False,False,False,False,False,False
3687,Mali,False,False,False,False,False,False,False,False,False
1604,Ecuador,False,False,False,False,False,False,False,False,False
2211,Grenada,True,False,False,True,False,False,False,False,False
1298,Costa Rica,False,False,False,False,False,False,False,False,False
2841,Kazakhstan,False,False,False,False,False,False,False,False,False
5943,Saint Vincent and the Grenadines,False,False,False,False,False,False,False,False,False
5648,Tunisia,False,False,False,False,False,False,False,False,False
759,Brazil,False,False,False,False,False,False,False,False,False
4447,Philippines,False,False,False,False,False,False,False,False,False
1205,Colombia,False,False,False,False,False,False,False,False,False
5246,Slovenia,False,False,False,False,False,False,False,False,False
2141,Guinea-Bissau,False,False,False,False,False,False,False,False,False
2698,Italy,False,False,False,False,False,False,False,False,False
1312,Cuba,False,False,False,False,False,False,False,False,False
1106,Cameroon,False,False,False,False,False,False,False,False,False
516,Bulgaria,False,False,False,False,False,False,False,False,False
3775,Myanmar,False,False,False,False,False,False,False,False,False
5581,Tonga,False,False,False,False,False,False,False,False,False
5910,Uzbekistan,False,False,False,False,False,False,False,False,False
4403,Peru,False,False,False,False,False,False,False,False,False
4485,Papua New Guinea,False,False,False,False,False,False,False,False,False
4436,Philippines,False,False,False,False,False,False,False,False,False
4675,Romania,False,False,False,False,False,False,False,False,False
1246,Comoros,False,False,False,False,False,False,False,False,False
3196,Libya,False,False,False,False,False,False,False,False,False
1014,Chile,False,False,False,False,False,False,False,False,False
6035,Vanuatu,False,False,False,False,False,False,False,False,False
1734,Estonia,False,False,False,False,False,False,False,False,False
4888,Singapore,False,False,False,False,False,False,False,False,False
2666,Israel,False,False,False,False,False,False,False,False,False
2506,India,False,False,False,False,False,False,False,False,False
3403,Latvia,False,False,False,False,False,False,False,False,False
3799,Montenegro,False,False,False,False,False,False,False,False,False
332,Azerbaijan,False,False,False,False,False,False,False,False,False
1010,Chile,False,False,False,False,False,False,False,False,False
2396,Croatia,False,False,False,False,False,False,False,False,False
1759,Estonia,False,False,False,False,False,False,False,False,False
1167,Congo,False,False,False,False,False,False,False,False,False
2743,Jamaica,False,False,False,False,False,False,False,False,False
3542,Madagascar,False,False,False,False,False,False,False,False,False
3920,Mauritius,False,False,False,False,False,False,False,False,False
4429,Philippines,False,False,False,False,False,False,False,False,False
4359,Panama,False,False,False,False,False,False,False,False,False
244,Antigua and Barbuda,False,False,False,False,False,False,False,False,False
572,Bahrain,False,False,False,False,False,False,False,False,False
202,Armenia,False,False,False,False,False,False,False,False,False
2418,Haiti,False,False,False,False,False,False,False,False,False
3869,Mozambique,False,False,False,False,False,False,False,False,False
5596,Tonga,False,False,False,False,False,False,False,False,False
5133,Sao Tome and Principe,False,False,False,False,False,False,False,False,False
2087,Gambia,False,False,False,False,False,False,False,False,False
3934,Mauritius,False,False,False,False,False,False,False,False,False
1830,Fiji,False,False,False,False,False,False,False,False,False
6040,Vanuatu,False,False,False,False,False,False,False,False,False
5269,Sweden,False,False,False,False,False,False,False,False,False
1494,Dominica,False,False,False,False,False,False,False,False,False
3147,Liberia,False,False,False,False,False,False,False,False,False
2247,Guatemala,False,False,False,False,False,False,False,False,False
5138,Sao Tome and Principe,False,False,False,False,False,False,False,False,False
3261,Liechtenstein,False,False,False,False,False,False,False,False,False
49,Angola,False,False,False,False,False,False,False,False,False
2188,Greece,False,False,False,False,False,False,False,False,False
2349,Honduras,False,False,False,False,False,False,False,False,False
5170,Suriname,False,False,False,False,False,False,False,False,False
4597,Portugal,False,False,False,False,False,False,False,False,False
2799,Japan,False,False,False,False,False,False,False,False,False
2968,Kiribati,False,False,False,False,False,False,False,False,False
5413,Togo,False,False,False,False,False,False,False,False,False
2035,Ghana,False,False,False,False,False,False,False,False,False
2255,Guatemala,False,False,False,False,False,False,False,False,False
1976,United Kingdom,False,False,False,False,False,False,False,False,False
3924,Mauritius,False,False,False,False,False,False,False,False,False
3872,Mauritania,False,False,False,False,False,False,False,False,False
918,Central African Republic,False,False,False,False,False,False,False,False,False
2463,Hungary,False,False,False,False,False,False,False,False,False
5582,Tonga,False,False,False,False,False,False,False,False,False
1784,Ethiopia,False,False,False,False,False,False,False,False,False
1894,Micronesia,True,False,False,True,False,False,False,False,False
3998,Malaysia,False,False,False,False,False,False,False,False,False
3357,Lithuania,False,False,False,False,False,False,False,False,False
4130,Netherlands,False,False,False,False,False,False,False,False,False
2632,Iceland,False,False,False,False,False,False,False,False,False
600,Bahamas,False,False,False,False,False,False,False,False,False
4361,Panama,False,False,False,False,False,False,False,False,False
1655,Egypt,False,False,False,False,False,False,False,False,False
1213,Colombia,False,False,False,False,False,False,False,False,False
4651,Qatar,False,False,False,False,False,False,False,False,False
4736,Rwanda,True,False,False,False,False,False,False,False,False
942,Canada,False,False,False,False,False,False,False,False,False
5496,Tajikistan,False,False,False,False,False,False,False,False,False
2646,Iceland,False,False,False,False,False,False,False,False,False
9,Afghanistan,False,False,False,False,False,False,False,False,False
3272,Sri Lanka,False,False,False,False,False,False,False,False,False
4350,Pakistan,False,False,False,False,False,False,False,False,False
1377,Czechia,False,False,False,False,False,False,False,False,False
6140,South Africa,False,False,False,False,False,False,False,False,False
3830,Mongolia,False,False,False,False,False,False,False,False,False
5754,Tanzania,False,False,False,False,False,False,False,False,False
2628,Iceland,False,False,False,False,False,False,False,False,False
4293,Oman,True,False,False,True,False,False,False,False,False
870,Botswana,False,False,False,False,False,False,False,False,False
1322,Cuba,False,False,False,False,False,False,False,False,False
6086,Yemen,False,False,False,False,False,False,False,False,False
619,Bosnia and Herzegovina,False,False,False,False,False,False,False,False,False
2120,Guinea-Bissau,True,False,False,True,False,False,False,False,False
1050,China,False,False,False,False,False,False,False,False,False
2410,Haiti,False,False,False,False,False,False,False,False,False
2172,Equatorial Guinea,False,False,False,False,False,False,False,False,False
914,Central African Republic,False,False,False,False,False,False,False,False,False
1896,Micronesia,True,False,False,True,False,False,False,False,False
1088,Cameroon,False,False,False,False,False,False,False,False,False
5478,Tajikistan,False,False,False,False,False,False,False,False,False
5238,Slovenia,False,False,False,False,False,False,False,False,False
2617,Iraq,False,False,False,False,False,False,False,False,False
2776,Jordan,False,False,False,False,False,False,False,False,False
1403,Czechia,False,False,False,False,False,False,False,False,False
3095,Lao People's Democratic Republic,False,False,False,False,False,False,False,False,False
2639,Iceland,False,False,False,False,False,False,False,False,False
3320,Lesotho,False,False,False,False,False,False,False,False,False
4470,Palau,False,False,False,False,False,False,False,False,False
620,Bosnia and Herzegovina,False,False,False,False,False,False,False,False,False
215,Armenia,False,False,False,False,False,False,False,False,False
4121,Nicaragua,False,False,False,False,False,False,False,False,False
4128,Netherlands,False,False,False,False,False,False,False,False,False
4153,Netherlands,False,False,False,False,False,False,False,False,False
5779,Uganda,False,False,False,False,False,False,False,False,False
3097,Lao People's Democratic Republic,False,False,False,False,False,False,False,False,False
1912,Micronesia,False,False,False,False,False,False,False,False,False
2930,Cambodia,False,False,False,False,False,False,False,False,False
5585,Tonga,False,False,False,False,False,False,False,False,False
3723,Malta,False,False,False,False,False,False,False,False,False
3046,Kuwait,False,False,False,False,False,False,False,False,False
3889,Mauritania,False,False,False,False,False,False,False,False,False
81,Albania,False,False,False,False,False,False,False,False,False
5695,Türkiye,False,False,False,False,False,False,False,False,False
3508,Moldova,False,False,False,False,False,False,False,False,False
3600,Mexico,False,False,False,False,False,False,False,False,False
5676,Türkiye,False,False,False,False,False,False,False,False,False
847,Bhutan,True,False,False,True,False,False,False,False,False
5313,Seychelles,True,False,False,True,False,False,False,False,False
4663,Qatar,False,False,False,False,False,False,False,False,False
1066,Côte d'Ivoire,False,False,False,False,False,False,False,False,False
725,Bolivia (Plurinational State of),False,False,False,False,False,False,False,False,False
1787,Ethiopia,False,False,False,False,False,False,False,False,False
3919,Mauritius,False,False,False,False,False,False,False,False,False
881,Botswana,False,False,False,False,False,False,False,False,False
4097,Nicaragua,False,False,False,False,False,False,False,False,False
5809,Ukraine,False,False,False,False,False,False,False,False,False
1223,Comoros,True,False,False,True,False,False,False,False,False
1437,Germany,False,False,False,False,False,False,False,False,False
4071,Nigeria,True,False,False,True,False,False,False,False,False
1981,United Kingdom,False,False,False,False,False,False,False,False,False
1059,Côte d'Ivoire,False,False,False,False,False,False,False,False,False
131,United Arab Emirates,False,False,False,False,False,False,False,False,False
3742,Malta,False,False,False,False,False,False,False,False,False
6078,Samoa,False,False,False,False,False,False,False,False,False
3044,Kuwait,False,False,False,False,False,False,False,False,False
282,Australia,False,False,False,False,False,False,False,False,False
4542,Poland,False,False,False,False,False,False,False,False,False
3142,Liberia,True,False,False,False,False,False,False,False,False
2205,Greece,False,False,False,False,False,False,False,False,False
4644,Qatar,False,False,False,False,False,False,False,False,False
2896,Kyrgyzstan,False,False,False,False,False,False,False,False,False
4896,Solomon Islands,True,False,False,True,False,False,False,False,False
1724,Spain,False,False,False,False,False,False,False,False,False
5,Afghanistan,False,False,False,False,False,False,False,False,False
1836,Fiji,False,False,False,False,False,False,False,False,False
806,Brunei Darussalam,False,False,False,False,False,False,False,False,False
91,Albania,False,False,False,False,False,False,False,False,False
1888,Micronesia,True,False,False,True,False,False,False,False,False
525,Bulgaria,False,False,False,False,False,False,False,False,False
5059,Serbia,True,True,False,False,False,False,False,False,False
2796,Japan,False,False,False,False,False,False,False,False,False
2683,Israel,False,False,False,False,False,False,False,False,False
1938,Gabon,False,False,False,False,False,False,False,False,False
4502,Papua New Guinea,False,False,False,False,False,False,False,False,False
2653,Iceland,False,False,False,False,False,False,False,False,False
240,Antigua and Barbuda,True,False,False,False,False,False,False,False,False
1943,Gabon,False,False,False,False,False,False,False,False,False
2295,Guyana,False,False,False,False,False,False,False,False,False
677,Belize,False,False,False,False,False,False,False,False,False
2851,Kenya,False,False,False,False,False,False,False,False,False
4719,Russian Federation,False,False,False,False,False,False,False,False,False
4833,Senegal,False,False,False,False,False,False,False,False,False
990,Switzerland,False,False,False,False,False,False,False,False,False
1164,Congo,False,False,False,False,False,False,False,False,False
5239,Slovenia,False,False,False,False,False,False,False,False,False
2048,Guinea,False,False,False,False,False,False,False,False,False
2528,Ireland,False,False,False,False,False,False,False,False,False
5137,Sao Tome and Principe,False,False,False,False,False,False,False,False,False
5594,Tonga,False,False,False,False,False,False,False,False,False
4303,Oman,False,False,False,False,False,False,False,False,False
1700,Spain,False,False,False,False,False,False,False,False,False
124,Andorra,False,False,False,False,False,False,False,False,False
3415,Latvia,False,False,False,False,False,False,False,False,False
4814,Sudan,False,False,False,False,False,False,False,False,False
1252,Cabo Verde,True,False,False,True,False,False,False,False,False
6013,Viet Nam,False,False,False,False,False,False,False,False,False
2990,Saint Kitts and Nevis,True,False,False,True,False,False,False,False,False
3222,Saint Lucia,False,False,False,False,False,False,False,False,False
4328,Pakistan,False,False,False,False,False,False,False,False,False
2176,Greece,False,False,False,False,False,False,False,False,False
2297,Guyana,False,False,False,False,False,False,False,False,False
145,United Arab Emirates,False,False,False,False,False,False,False,False,False
4103,Nicaragua,False,False,False,False,False,False,False,False,False
5314,Seychelles,True,False,False,True,False,False,False,False,False
943,Canada,False,False,False,False,False,False,False,False,False
5952,Venezuela (Bolivarian Republic of),False,False,False,False,False,False,False,False,False
400,Belgium,False,False,False,False,False,False,False,False,False
5635,Tunisia,False,False,False,False,False,False,False,False,False
1038,China,False,False,False,False,False,False,False,False,False
5124,Sao Tome and Principe,False,False,False,False,False,False,False,False,False
1611,Ecuador,False,False,False,False,False,False,False,False,False
3029,South Korea,False,False,False,False,False,False,False,False,False
6061,Samoa,False,False,False,False,False,False,False,False,False
5782,Uganda,False,False,False,False,False,False,False,False,False
890,Botswana,False,False,False,False,False,False,False,False,False
4433,Philippines,False,False,False,False,False,False,False,False,False
4889,Singapore,False,False,False,False,False,False,False,False,False
2802,Japan,False,False,False,False,False,False,False,False,False
149,United Arab Emirates,False,False,False,False,False,False,False,False,False
1730,Estonia,False,False,False,False,False,False,False,False,False
5484,Tajikistan,False,False,False,False,False,False,False,False,False
1228,Comoros,False,False,False,False,False,False,False,False,False
16,Afghanistan,False,False,False,False,False,False,False,False,False
5835,Uruguay,False,False,False,False,False,False,False,False,False
1112,Cameroon,False,False,False,False,False,False,False,False,False
5322,Seychelles,False,False,False,False,False,False,False,False,False
3886,Mauritania,False,False,False,False,False,False,False,False,False
5074,Serbia,False,False,False,False,False,False,False,False,False
2507,India,False,False,False,False,False,False,False,False,False
446,Benin,False,False,False,False,False,False,False,False,False
2409,Haiti,False,False,False,False,False,False,False,False,False
2199,Greece,False,False,False,False,False,False,False,False,False
591,Bahamas,False,False,False,False,False,False,False,False,False
4325,Pakistan,False,False,False,False,False,False,False,False,False
5220,Slovenia,True,True,False,False,False,False,False,False,False
754,Brazil,False,False,False,False,False,False,False,False,False
1483,Dominica,False,False,False,False,False,False,False,False,False
1329,Cuba,False,False,False,False,False,False,False,False,False
1175,Congo,False,False,False,False,False,False,False,False,False
5547,Timor-Leste,True,False,False,False,False,False,False,False,False
1129,Democratic Republic of the Congo,False,False,False,False,False,False,False,False,False
5812,Ukraine,False,False,False,False,False,False,False,False,False
5416,Togo,False,False,False,False,False,False,False,False,False
1041,China,False,False,False,False,False,False,False,False,False
4132,Netherlands,False,False,False,False,False,False,False,False,False
2736,Jamaica,False,False,False,False,False,False,False,False,False
4604,Portugal,False,False,False,False,False,False,False,False,False
3524,Madagascar,True,False,False,True,False,False,False,False,False
2642,Iceland,False,False,False,False,False,False,False,False,False
1123,Democratic Republic of the Congo,False,False,False,False,False,False,False,False,False
4296,Oman,True,False,False,True,False,False,False,False,False
1718,Spain,False,False,False,False,False,False,False,False,False
2755,Jordan,False,False,False,False,False,False,False,False,False
2056,Guinea,False,False,False,False,False,False,False,False,False
4757,Rwanda,False,False,False,False,False,False,False,False,False
2637,Iceland,False,False,False,False,False,False,False,False,False
3613,Mexico,False,False,False,False,False,False,False,False,False
4830,Sudan,False,False,False,False,False,False,False,False,False
219,Armenia,False,False,False,False,False,False,False,False,False
3319,Lesotho,False,False,False,False,False,False,False,False,False
2497,India,False,False,False,False,False,False,False,False,False
3612,Mexico,False,False,False,False,False,False,False,False,False
350,Azerbaijan,False,False,False,False,False,False,False,False,False
1109,Cameroon,False,False,False,False,False,False,False,False,False
3947,Malawi,False,False,False,False,False,False,False,False,False
5930,Saint Vincent and the Grenadines,False,False,False,False,False,False,False,False,False
5182,Suriname,False,False,False,False,False,False,False,False,False
1258,Cabo Verde,False,False,False,False,False,False,False,False,False
1239,Comoros,False,False,False,False,False,False,False,False,False
289,Austria,False,False,False,False,False,False,False,False,False
1605,Ecuador,False,False,False,False,False,False,False,False,False
4943,Sierra Leone,False,False,False,False,False,False,False,False,False
90,Albania,False,False,False,False,False,False,False,False,False
1958,United Kingdom,False,False,False,False,False,False,False,False,False
2054,Guinea,False,False,False,False,False,False,False,False,False
5406,Chad,False,False,False,False,False,False,False,False,False
1951,Gabon,False,False,False,False,False,False,False,False,False
4938,Sierra Leone,False,False,False,False,False,False,False,False,False
650,Belarus,False,False,False,False,False,False,False,False,False
2020,Ghana,False,False,False,False,False,False,False,False,False
234,Antigua and Barbuda,True,False,False,False,False,False,False,False,False
1450,Djibouti,False,False,False,False,False,False,False,False,False
2137,Guinea-Bissau,False,False,False,False,False,False,False,False,False
300,Austria,False,False,False,False,False,False,False,False,False
5212,Slovakia,False,False,False,False,False,False,False,False,False
3160,Liberia,False,False,False,False,False,False,False,False,False
2951,Kiribati,True,False,False,True,False,False,False,False,False
2217,Grenada,True,False,False,True,False,False,False,False,False
1247,Comoros,False,False,False,False,False,False,False,False,False
1967,United Kingdom,False,False,False,False,False,False,False,False,False
5979,Venezuela (Bolivarian Republic of),False,False,False,False,False,False,False,False,False
3356,Lithuania,False,False,False,False,False,False,False,False,False
2760,Jordan,False,False,False,False,False,False,False,False,False
3411,Latvia,False,False,False,False,False,False,False,False,False
207,Armenia,False,False,False,False,False,False,False,False,False
2561,Iran (Islamic Republic of),False,False,False,False,False,False,False,False,False
205,Armenia,False,False,False,False,False,False,False,False,False
676,Belize,False,False,False,False,False,False,False,False,False
2460,Hungary,False,False,False,False,False,False,False,False,False
4127,Nicaragua,False,False,False,False,False,False,False,False,False
956,Canada,False,False,False,False,False,False,False,False,False
1504,Denmark,False,False,False,False,False,False,False,False,False
2078,Guinea,False,False,False,False,False,False,False,False,False
4181,Norway,False,False,False,False,False,False,False,False,False
5978,Venezuela (Bolivarian Republic of),False,False,False,False,False,False,False,False,False
445,Benin,False,False,False,False,False,False,False,False,False
152,United Arab Emirates,False,False,False,False,False,False,False,False,False
5941,Saint Vincent and the Grenadines,False,False,False,False,False,False,False,False,False
2674,Israel,False,False,False,False,False,False,False,False,False
6074,Samoa,False,False,False,False,False,False,False,False,False
778,Barbados,False,False,False,False,False,False,False,False,False
393,Belgium,False,False,False,False,False,False,False,False,False
2966,Kiribati,False,False,False,False,False,False,False,False,False
4425,Philippines,False,False,False,False,False,False,False,False,False
3911,Mauritius,False,False,False,False,False,False,False,False,False
4601,Portugal,False,False,False,False,False,False,False,False,False
1660,Egypt,False,False,False,False,False,False,False,False,False
632,Bosnia and Herzegovina,False,False,False,False,False,False,False,False,False
1526,Denmark,False,False,False,False,False,False,False,False,False
1828,Fiji,False,False,False,False,False,False,False,False,False
2419,Haiti,False,False,False,False,False,False,False,False,False
505,Bangladesh,False,False,False,False,False,False,False,False,False
347,Azerbaijan,False,False,False,False,False,False,False,False,False
2842,Kazakhstan,False,False,False,False,False,False,False,False,False
2869,Kenya,False,False,False,False,False,False,False,False,False
385,Belgium,False,False,False,False,False,False,False,False,False
2967,Kiribati,False,False,False,False,False,False,False,False,False
1663,Egypt,False,False,False,False,False,False,False,False,False
3175,Libya,False,False,False,False,False,False,False,False,False
2224,Grenada,False,False,False,False,False,False,False,False,False
1628,Ecuador,False,False,False,False,False,False,False,False,False
4948,Sierra Leone,False,False,False,False,False,False,False,False,False
3604,Mexico,False,False,False,False,False,False,False,False,False
2108,Gambia,False,False,False,False,False,False,False,False,False
2471,Indonesia,False,False,False,False,False,False,False,False,False
4600,Portugal,False,False,False,False,False,False,False,False,False
2711,Italy,False,False,False,False,False,False,False,False,False
1803,Finland,False,False,False,False,False,False,False,False,False
4488,Papua New Guinea,False,False,False,False,False,False,False,False,False
3615,Mexico,False,False,False,False,False,False,False,False,False
6158,Zambia,False,False,False,False,False,False,False,False,False
713,Bolivia (Plurinational State of),False,False,False,False,False,False,False,False,False
1985,Georgia,True,False,False,True,False,False,False,False,False
3329,Lithuania,False,False,False,False,False,False,False,False,False
4710,Russian Federation,False,False,False,False,False,False,False,False,False
1036,China,False,False,False,False,False,False,False,False,False
4520,Poland,False,False,False,False,False,False,False,False,False
5661,Tunisia,False,False,False,False,False,False,False,False,False
134,United Arab Emirates,False,False,False,False,False,False,False,False,False
4531,Poland,False,False,False,False,False,False,False,False,False
443,Benin,False,False,False,False,False,False,False,False,False
5257,Sweden,False,False,False,False,False,False,False,False,False
2310,Hong Kong,False,False,False,False,False,False,False,False,False
1433,Germany,False,False,False,False,False,False,False,False,False
6116,South Africa,False,False,False,False,False,False,False,False,False
5234,Slovenia,False,False,False,False,False,False,False,False,False
5229,Slovenia,False,False,False,False,False,False,False,False,False
690,Belize,False,False,False,False,False,False,False,False,False
429,Benin,False,False,False,False,False,False,False,False,False
2685,Israel,False,False,False,False,False,False,False,False,False
5489,Tajikistan,False,False,False,False,False,False,False,False,False
6049,Samoa,True,True,False,False,False,False,False,False,False
4164,Norway,False,False,False,False,False,False,False,False,False
5441,Thailand,False,False,False,False,False,False,False,False,False
5343,Seychelles,False,False,False,False,False,False,False,False,False
4636,Paraguay,False,False,False,False,False,False,False,False,False
2432,Hungary,False,False,False,False,False,False,False,False,False
2107,Gambia,False,False,False,False,False,False,False,False,False
4464,Palau,False,False,False,False,False,False,False,False,False
5538,Timor-Leste,True,False,False,True,False,False,False,False,False
1927,Gabon,False,False,False,False,False,False,False,False,False
784,Barbados,False,False,False,False,False,False,False,False,False
1000,Chile,False,False,False,False,False,False,False,False,False
6165,Zambia,False,False,False,False,False,False,False,False,False
4882,Singapore,False,False,False,False,False,False,False,False,False
4735,Russian Federation,False,False,False,False,False,False,False,False,False
6125,South Africa,False,False,False,False,False,False,False,False,False
373,Burundi,False,False,False,False,False,False,False,False,False
2613,Iraq,False,False,False,False,False,False,False,False,False
4643,Qatar,False,False,False,False,False,False,False,False,False
1368,Cyprus,False,False,False,False,False,False,False,False,False
4021,Namibia,False,False,False,False,False,False,False,False,False
1189,Colombia,False,False,False,False,False,False,False,False,False
3603,Mexico,False,False,False,False,False,False,False,False,False
984,Switzerland,False,False,False,False,False,False,False,False,False
1310,Costa Rica,False,False,False,False,False,False,False,False,False
361,Burundi,False,False,False,False,False,False,False,False,False
2658,Israel,False,False,False,False,False,False,False,False,False
209,Armenia,False,False,False,False,False,False,False,False,False
2248,Guatemala,False,False,False,False,False,False,False,False,False
6022,Vanuatu,True,False,False,True,False,False,False,False,False
1035,China,False,False,False,False,False,False,False,False,False
3430,Morocco,False,False,False,False,False,False,False,False,False
3907,Mauritius,False,False,False,False,False,False,False,False,False
5553,Timor-Leste,False,False,False,False,False,False,False,False,False
2320,Hong Kong,False,False,False,False,False,False,False,False,False
3110,Lebanon,True,False,False,True,False,False,False,False,False
763,Brazil,False,False,False,False,False,False,False,False,False
1978,United Kingdom,False,False,False,False,False,False,False,False,False
680,Belize,False,False,False,False,False,False,False,False,False
3346,Lithuania,False,False,False,False,False,False,False,False,False
5637,Tunisia,False,False,False,False,False,False,False,False,False
4421,Philippines,False,False,False,False,False,False,False,False,False
12,Afghanistan,False,False,False,False,False,False,False,False,False
1645,Egypt,False,False,False,False,False,False,False,False,False
4676,Romania,False,False,False,False,False,False,False,False,False
3589,Mexico,False,False,False,False,False,False,False,False,False
6077,Samoa,False,False,False,False,False,False,False,False,False
99,Andorra,True,False,False,True,False,False,False,False,False
5825,Uruguay,False,False,False,False,False,False,False,False,False
1444,Djibouti,True,False,False,True,False,False,False,False,False
2111,Gambia,False,False,False,False,False,False,False,False,False
5601,Trinidad and Tobago,False,False,False,False,False,False,False,False,False
707,Bolivia (Plurinational State of),False,False,False,False,False,False,False,False,False
567,Bahrain,False,False,False,False,False,False,False,False,False
3113,Lebanon,True,False,False,True,False,False,False,False,False
590,Bahamas,False,False,False,False,False,False,False,False,False
1111,Cameroon,False,False,False,False,False,False,False,False,False
3252,Liechtenstein,False,False,False,False,False,False,False,False,False
3520,Madagascar,True,False,False,True,False,False,False,False,False
902,Central African Republic,False,False,False,False,False,False,False,False,False
4136,Netherlands,False,False,False,False,False,False,False,False,False
1674,Eritrea,True,False,False,True,False,False,False,False,False
6007,Viet Nam,False,False,False,False,False,False,False,False,False
2153,Equatorial Guinea,True,False,False,True,False,False,False,False,False
5900,Uzbekistan,False,False,False,False,False,False,False,False,False
2830,Kazakhstan,False,False,False,False,False,False,False,False,False
2704,Italy,False,False,False,False,False,False,False,False,False
2569,Iran (Islamic Republic of),False,False,False,False,False,False,False,False,False
4396,Peru,False,False,False,False,False,False,False,False,False
3099,Lao People's Democratic Republic,False,False,False,False,False,False,False,False,False
4131,Netherlands,False,False,False,False,False,False,False,False,False
6172,Zambia,False,False,False,False,False,False,False,False,False
3807,Montenegro,False,False,False,False,False,False,False,False,False
606,Bahamas,False,False,False,False,False,False,False,False,False
4856,Senegal,False,False,False,False,False,False,False,False,False
5339,Seychelles,False,False,False,False,False,False,False,False,False
5617,Trinidad and Tobago,False,False,False,False,False,False,False,False,False
4747,Rwanda,False,False,False,False,False,False,False,False,False
5435,Togo,False,False,False,False,False,False,False,False,False
