,country,human_development_index,gross_national_income_per_capita_2017_ppp_log,median_age_as_of_july_1st_years,mean_years_of_schooling,rate_of_natural_change_per_1000_population,net_reproduction_rate_surviving_daughters_per_woman,adolescent_birth_rate_per_1000_women_ages_15_19,total_fertility_rate_live_births_per_woman,crude_birth_rate_births_per_1000_population
2240,Guatemala,False,False,False,False,False,False,False,False,False
3187,Libya,False,False,False,False,False,False,False,False,False
4808,Sudan,False,False,False,False,False,False,False,False,False
3831,Mongolia,False,False,False,False,False,False,False,False,False
3292,Sri Lanka,False,False,False,False,False,False,False,False,False
1922,Gabon,False,False,False,False,False,False,False,False,False
3927,Mauritius,False,False,False,False,False,False,False,False,False
4692,Romania,False,False,False,False,False,False,False,False,False
1420,Germany,False,False,False,False,False,False,False,False,False
1925,Gabon,False,False,False,False,False,False,False,False,False
1141,Democratic Republic of the Congo,False,False,False,False,False,False,False,False,False
3337,Lithuania,False,False,False,False,False,False,False,False,False
4289,Oman,True,False,False,True,False,False,False,False,False
120,Andorra,False,False,False,False,False,False,False,False,False
2362,Honduras,False,False,False,False,False,False,False,False,False
1273,Cabo Verde,False,False,False,False,False,False,False,False,False
4858,Senegal,False,False,False,False,False,False,False,False,False
1665,Eritrea,True,False,False,True,False,False,False,False,False
3760,Myanmar,False,False,False,False,False,False,False,False,False
3804,Montenegro,False,False,False,False,False,False,False,False,False
4929,Sierra Leone,False,False,False,False,False,False,False,False,False
309,Austria,False,False,False,False,False,False,False,False,False
1135,Democratic Republic of the Congo,False,False,False,False,False,False,False,False,False
510,Bangladesh,False,False,False,False,False,False,False,False,False
4086,Nigeria,False,False,False,False,False,False,False,False,False
3740,Malta,False,False,False,False,False,False,False,False,False
1367,Cyprus,False,False,False,False,False,False,False,False,False
551,Bahrain,False,False,False,False,False,False,False,False,False
1457,Djibouti,False,False,False,False,False,False,False,False,False
678,Belize,False,False,False,False,False,False,False,False,False
3143,Liberia,True,False,False,False,False,False,False,False,False
455,Burkina Faso,True,False,False,True,False,False,False,False,False
5512,Turkmenistan,True,False,False,False,False,False,False,False,False
750,Brazil,False,False,False,False,False,False,False,False,False
1738,Estonia,False,False,False,False,False,False,False,False,False
484,Bangladesh,False,False,False,False,False,False,False,False,False
880,Botswana,False,False,False,False,False,False,False,False,False
4112,Nicaragua,False,False,False,False,False,False,False,False,False
541,Bulgaria,False,False,False,False,False,False,False,False,False
1372,Cyprus,False,False,False,False,False,False,False,False,False
6014,Viet Nam,False,False,False,False,False,False,False,False,False
1070,Côte d'Ivoire,False,False,False,False,False,False,False,False,False
1913,Micronesia,False,False,False,False,False,False,False,False,False
3317,Lesotho,False,False,False,False,False,False,False,False,False
3875,Mauritania,False,False,False,False,False,False,False,False,False
1505,Denmark,False,False,False,False,False,False,False,False,False
2179,Greece,False,False,False,False,False,False,False,False,False
2978,Saint Kitts and Nevis,True,False,False,True,False,False,False,False,False
5527,Turkmenistan,False,False,False,False,False,False,False,False,False
2537,Ireland,False,False,False,False,False,False,False,False,False
462,Burkina Faso,False,False,False,False,False,False,False,False,False
4773,Saudi Arabia,False,False,False,False,False,False,False,False,False
1488,Dominica,False,False,False,False,False,False,False,False,False
3758,Myanmar,False,False,False,False,False,False,False,False,False
809,Brunei Darussalam,False,False,False,False,False,False,False,False,False
1147,Democratic Republic of the Congo,False,False,False,False,False,False,False,False,False
2457,Hungary,False,False,False,False,False,False,False,False,False
2202,Greece,False,False,False,False,False,False,False,False,False
1032,China,False,False,False,False,False,False,False,False,False
4827,Sudan,False,False,False,False,False,False,False,False,False
3181,Libya,False,False,False,False,False,False,False,False,False
4652,Qatar,False,False,False,False,False,False,False,False,False
1694,Eritrea,False,False,False,False,False,False,False,False,False
4393,Peru,False,False,False,False,False,False,False,False,False
5525,Turkmenistan,False,False,False,False,False,False,False,False,False
1429,Germany,False,False,False,False,False,False,False,False,False
4760,Rwanda,False,False,False,False,False,False,False,False,False
176,Argentina,False,False,False,False,False,False,False,False,False
2121,Guinea-Bissau,True,False,False,True,False,False,False,False,False
71,Albania,False,False,False,False,False,False,False,False,False
66,Albania,False,False,False,False,False,False,False,False,False
3043,Kuwait,False,False,False,False,False,False,False,False,False
1387,Czechia,False,False,False,False,False,False,False,False,False
201,Armenia,False,False,False,False,False,False,False,False,False
731,Bolivia (Plurinational State of),False,False,False,False,False,False,False,False,False
2104,Gambia,False,False,False,False,False,False,False,False,False
5636,Tunisia,False,False,False,False,False,False,False,False,False
189,Argentina,False,False,False,False,False,False,False,False,False
5123,Sao Tome and Principe,False,False,False,False,False,False,False,False,False
3835,Mongolia,False,False,False,False,False,False,False,False,False
3244,Liechtenstein,False,False,False,False,False,False,False,False,False
2329,Hong Kong,False,False,False,False,False,False,False,False,False
4703,Romania,False,False,False,False,False,False,False,False,False
2859,Kenya,False,False,False,False,False,False,False,False,False
3783,Montenegro,True,False,False,True,False,False,False,False,False
4056,Niger,False,False,False,False,False,False,False,False,False
3299,Lesotho,False,False,False,False,False,False,False,False,False
2262,Guatemala,False,False,False,False,False,False,False,False,False
4848,Senegal,False,False,False,False,False,False,False,False,False
835,Bhutan,True,False,False,True,False,False,False,False,False
5857,United States of America,False,False,False,False,False,False,False,False,False
100,Andorra,True,False,False,True,False,False,False,False,False
2477,Indonesia,False,False,False,False,False,False,False,False,False
1893,Micronesia,True,False,False,True,False,False,False,False,False
872,Botswana,False,False,False,False,False,False,False,False,False
1188,Colombia,False,False,False,False,False,False,False,False,False
344,Azerbaijan,False,False,False,False,False,False,False,False,False
74,Albania,False,False,False,False,False,False,False,False,False
5895,Uzbekistan,True,False,False,True,False,False,False,False,False
3453,Morocco,False,False,False,False,False,False,False,False,False
2710,Italy,False,False,False,False,False,False,False,False,False
58,Angola,False,False,False,False,False,False,False,False,False
1799,Finland,False,False,False,False,False,False,False,False,False
6000,Viet Nam,False,False,False,False,False,False,False,False,False
3874,Mauritania,False,False,False,False,False,False,False,False,False
1044,China,False,False,False,False,False,False,False,False,False
5215,Slovakia,False,False,False,False,False,False,False,False,False
3269,Sri Lanka,False,False,False,False,False,False,False,False,False
2515,India,False,False,False,False,False,False,False,False,False
5060,Serbia,True,True,False,False,False,False,False,False,False
4364,Panama,False,False,False,False,False,False,False,False,False
1937,Gabon,False,False,False,False,False,False,False,False,False
155,United Arab Emirates,False,False,False,False,False,False,False,False,False
967,Switzerland,False,False,False,False,False,False,False,False,False
5146,Sao Tome and Principe,False,False,False,False,False,False,False,False,False
286,Australia,False,False,False,False,False,False,False,False,False
1342,Cuba,False,False,False,False,False,False,False,False,False
6079,Samoa,False,False,False,False,False,False,False,False,False
4580,Portugal,False,False,False,False,False,False,False,False,False
1781,Ethiopia,False,False,False,False,False,False,False,False,False
405,Belgium,False,False,False,False,False,False,False,False,False
2589,Iran (Islamic Republic of),False,False,False,False,False,False,False,False,False
5536,Timor-Leste,True,False,False,True,False,False,False,False,False
2169,Equatorial Guinea,False,False,False,False,False,False,False,False,False
4462,Palau,False,False,False,False,False,False,False,False,False
5764,Uganda,False,False,False,False,False,False,False,False,False
560,Bahrain,False,False,False,False,False,False,False,False,False
3665,North Macedonia,False,False,False,False,False,False,False,False,False
6206,Zimbabwe,False,False,False,False,False,False,False,False,False
5884,United States of America,False,False,False,False,False,False,False,False,False
1801,Finland,False,False,False,False,False,False,False,False,False
39,Angola,True,False,False,True,False,False,False,False,False
5803,Ukraine,False,False,False,False,False,False,False,False,False
3662,North Macedonia,False,False,False,False,False,False,False,False,False
1551,Dominican Republic,False,False,False,False,False,False,False,False,False
1333,Cuba,False,False,False,False,False,False,False,False,False
